glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
EP-2026-000107-CAF,2026-000107,23849,EP,epidemic,CAF,,4.86217116173816,17.9072174375,0.0,0.0,0,2026,6,26,A,0,0,0,0,,0,"As of 1 July 2026, active cholera transmission has been confirmed in three health districts, including the capital city: Bangui 2, Bimbo, and Mbaïki. A cumulative total of 214 suspected cases and 24 community deaths have been reported, resulting in a high case fatality rate of 11.21 per cent. ",UNICEF
FL-2024-000165-CAF,2024-000165,23320,FL,flood,CAF,,6.611111,20.939444,0.0,0.0,0,2024,8,1,A,0,0,0,0,,0,"Recent torrential rains and strong winds have destroyed 1,700 houses and caused the displacing of a further 3,300 people. ",UNFPA
FL-2022-000330-CAF,2022-000330,22699,FL,flood,CAF,"Arrondissement 2, 3, 4, 5, 6, 8, Bimbo et B&eacute;goua; Paoua, Kouango et Bambari",6.611111,20.939444,0.0,0.0,0,2022,10,12,A,2,22,21407,24758,,0,"On the night of September 28, 2022, torrential rains fell on the city of Bangui and its surroundings. They led to an increase in the level of the Oubangui River, which overflowed its bed, causing flooding in the riparian areas of Arrondissements 2, 3, 4, 5, 6, 8, Bimbo and B&eacute;goua. This situation increases the vulnerability of the victims in these areas which were already affected during the successive floods suffered during the months of July and August 2022 and which left more than 21,700 people homeless across the country, and refugees in families of reception, schools and churches (OCHA, August 2022). The rains of September 28 added to this already significant balance sheet despite the mobilization of the actors on the ground whose actions started since the beginning of the flood season are running out of steam.
The impact of the floods that occurred on September 28 leaves a significant gap in assistance with many needs. The National Society&#39;s assessment reveals thousands of houses weakened by water, hundreds of latrines and wells damaged or destroyed by water. The losses of equipment and cultivable land are considerable as the normal harvest season approaches, which should begin in October. Twenty-two (22) injured were also recorded. Most of the victims are located in arrondissements 2, 3, 5 and 6 which are considered priority one zones by the Government. Monitoring of the towns of Paoua, Kouango and Bambari which were also hit by floods following heavy rainfall. They represent the localities most affected by the floods. The houses being either flooded or destroyed, the population moved to host families or schools. The density and frequency of rains to date and the continuity of precipitation in the coming weeks raise fears of a worsening of the situation. According to the seasonal calendar the rains should continue until the end of October (Source: SEASONAL CALENDAR FOR A TYPICAL YEAR, FEWS NET).
From National Society assessment, There are 24,758 people affected by the floods: 21,407 homeless people due to these successive floods, 4,281 households affected with 2,823 houses completely destroyed, 1,458 houses partially destroyed, 53 people injured, 02 loss of life. 2417 damaged family latrines, 1092 damaged and contaminated water wells, 05 broken bridges and all water pipes are clogged and overflowed. The situation is alarming, emergency aid to the victims of the disaster is essential.",Central African Republic RED CROSS
FL-2022-000321-CAF,2022-000321,22687,FL,flood,CAF,,6.611111,20.939444,0.0,0.0,0,2022,7,27,A,0,0,0,0,,0,"At least eleven people killed, nearly 2,000 houses and a dozen bridges destroyed, and thousands of latrines and wells flooded. This is the preliminary assessment by several sources after the torrential rains recorded in Bangui, Ombella M&#39;Poko, Lobaye, Nana-Gribizi, OuhamPend&eacute; and Ouham-Fafa Prefectures since July. More than 22,450 people have lost their homes and have taken shelter in host families, schools and churches.",UN OCHA
FR-2022-000179-CAF,2022-000179,22540,FR,fire,CAF,BAKALA,6.611111,20.939444,0.0,0.0,0,2022,2,26,A,0,17,3000,30000,,0,"Two large villages located 15 km from the town of Bakala (458 km from Bangui) experienced fires in the night of 24 to 25 February 2022, which caused significant material and human damage. Indeed, this area is experiencing intense drought and very high temperatures at the end of the dry season. Moreover, this is the period during which the fields are burnt. It is therefore from these burnt fields that the fire started, which was at the origin of the present fire. Fire quickly spread to other nearby houses and was aggravated by the strength of the winds. The city does not have a fire department, so the inhabitants tried to put out the fire with the means at hand. Unfortunately, the fire continued until the night of February 26, 2022. After a few hours of calm, the fire started again on 28 February 2022, affecting new villages. 
The assessment made by volunteers and local authorities shows 191 families, i.e. 955 people, including 171 men, 385 women and 399 children. In this population, 11 pregnant women, 12 nursing mothers, 36 elderly people and 17 disabled people were also noted.",Central African Red Cross and IFRC
FL-2021-000123-CAF,2021-000123,22247,FL,flood,CAF,"Bossongo, Bangui, Bimbo, Birao and Baoro",0.0,0.0,0.0,0.0,0,2021,8,7,A,0,1,725,3,,0,"On 07 August 2021, torrential rain fell on Bangui and its surroundings from 2 pm to 10 pm. Ten (10) districts of the 6th arrondissement and six (6) of Bimbo were hard hit. ",CAR Red Cross Society
EP-2020-000120-CAF,2020-000120,21972,EP,epidemic,CAF,,6.611111,20.939444,0.0,0.0,0,2020,2,1,A,0,0,0,0,,0,"Selon les données épidémiologiques de la période de février 2019 et janvier 2020, le pays a enregistré 3653 cas de rougeole dont 53 décès soit 0,09% de létalité. Pour l’année 2019, 3388 cas de rougeole ont été enregistrés contre 241 cas en 2018 soit une augmentation de 1400%. Sur les 3388 cas 933 ont été investigués dont 260 confirmés par le laboratoire de l’Institut Pasteur de Bangui. Cette situation a conduit le Ministère de la Santé et de la Population a déclaré des épidémies de rougeole en 2019 dans les districts de santé de Paoua en mars, Vakaga en avril, Nana Gribizi et Batangafo et Bocaranga-Koui, Ngaoundaye, Bambari en octobre. Face à ces épidémies, le Ministère de la Santé et de la Population en collaboration avec les partenaires de la vaccination OMS et UNICEF ainsi que les ONGs internationales œuvrant dans les districts de santé affectés, a organisé des ripostes localisées.",ReliefWeb - OCHA
FL-2019-000098-CAF,2019-000098,21573,FL,flood,CAF,Paoua,0.0,0.0,0.0,0.0,0,2019,8,19,A,0,0,0,0,,0,"The city of Paoua and Pouma?dji village experienced floods in the night of 19 to 20 August 2019. These floods caused significant material and human damage. Provisional reports indicate that at least 295 households or 1,475 people, including 347 men, 356 women and 772 children are affected. One death and five injuries have been recorded","Central African Republic Red Cross,IFRC."
EP-2019-000053-CAF,2019-000053,21528,EP,epidemic,CAF,,0.0,0.0,0.0,0.0,0,2019,5,30,A,0,0,0,2,,0,"Two separate VDPV2 cases not genetically linked from AFP were confirmed on 29th May and 31 May 2019. On 30th May 2019, the MoH declared a public health emergency of national concern as per global guidelines. ",WHO
FL-2017-000134-CAF,2017-000134,20932,FL,flood,CAF,Kouango,4.9946855,19.982437,0.0,0.0,0,2017,8,23,A,0,0,0,1750,,3,The city of Kouango has experienced significant flooding since the 23rd of August 2017. These floods have caused significant material and human damages with 1750 people affected and 276 houses completely destroyed.,IFRC
VW-2017-000029-CAF,2017-000029,20817,VW,violent wind,CAF,,5.24959772884334,17.6556396484375,0.0,0.0,0,2017,3,16,A,0,0,0,0,,0,"Since January 2017, the Central African Republic has been experiencing a series of violent winds. Since 16 March 2017 the cities of Mba?ki, Ndolobo, Ndjoh, Lambi and Bossembel&eacute; centers located respectively 107 km, 125 km and 157 km from Bangui, faced violent winds following heavy rains, causing major damage. ",
EP-2016-000082-CAF,2016-000082,20727,EP,epidemic,CAF,,6.611111,20.939444,0.0,0.0,0,2016,8,10,A,0,0,0,0,,0,"On 10 August 2016, a cholera outbreak was declared. The World Health Organization (WHO) and partners are working with the country's Ministry of Health to respond. As of 11 August, there has been 46 confirmed cases and 13 deaths from Djoujou, Damara and Bangui cities.",WHO
EP-2015-000178-CAF,2015-000178,20640,EP,epidemic,CAF,,4.73793819347674,22.8155136108398,0.0,0.0,0,2015,12,4,A,2,0,0,11,,0,"On 4 December 2015, two children aged 9 and 5 from a hunter family in Lengo village, 15 kilometres from Bakouma in the Mbomou Province, eastern  Central African Republic (CAR), were taken to the Bakouma health Centre suffering from unidentified disease with rashes all over their bodies. On the 10 December 2015, in response to the outbreak in Bangassou, the WHO facilitated an initial assessment carried out by the Ministry of Health (MoH) in the affected province and a joint mission was undertaken by the health district and M&eacute;decins Sans Fronti&egrave;res (MSF) Belgium. On 17 December 2015, the children were later transferred to the Bangassou Regional hospital run by an international non-governmental organization (NGO) and MSF. While at the hospital, the children's condition got worse. As such, samples were taken and sent to the Pasteur Institute of Bangui for Laboratory test. 

On the 29 December 2015, following the testing of samples and diagnosis, the Minister of Health declared a Monkey-pox epidemic outbreak and requested World Health Organization (WHO)'s support in carrying out further analysis and immediate response.
",IFRC
FL-2015-000053-CAF,2015-000053,20417,FL,flood,CAF,,4.25876835730803,15.79345703125,0.0,0.0,0,2015,4,24,A,0,0,0,0,,0,"On 24 Apr 2015, continuous storms resulted in extensive flooding, destruction of houses and loss of household belongings in several districts of Berb&eacute;rati in south-western Central African Republic. 210 households (1,109 people) have been affected and 199 houses have been destroyed.",IFRC
EP-2014-000039-CAF,2014-000039,20273,EP,epidemic,CAF,,4.35736592790016,18.56689453125,0.0,0.0,0,2014,8,28,A,0,0,0,0,,0,Ebola preparedness,IFRC
OT-2013-000152-CAF,2013-000152,20117,OT,other,CAF,Bangui,4.361698,18.5559749999999,0.0,0.0,0,2013,12,5,A,539,136,0,163000,,0,"Des affrontements arm&eacute;s  survenus &agrave; Bangui les 5, 6, 7 et 8 D&eacute;cembre 2013 ont fait des nombreux d&eacute;g&acirc;ts humains et mat&eacute;riels importants.163.000 d&eacute;plac&eacute;s sont affect&eacute;s par cet &eacute;v&eacute;nement. Les tueries se poursuivent dans certains quartiers.
En date du 13 d&eacute;cembre, 539 morts et 136 bless&eacute;s ont &eacute;t&eacute; enregistr&eacute;s par la Croix-Rouge Centrafricaine.
",IFRC
FL-2013-000112-CAF,2013-000112,20068,FL,flood,CAF,Bangui,4.361698,18.5559749999999,0.0,0.0,0,2013,9,17,A,0,0,0,1,,0,"On 3 - 4 September 2013, the sub-districts of Issongo, Bea-Rex Makambo, Sara Banga-2-Gbaya Dombia, Bibal?, Souma Poto Poto, Fondo Yakite and Sara-Dah in the third district of  Bangui was flooded following heavy rains that have caused significant damage in those towns. Up to to 337 families were badly affected in the ten sub-districts and the total number of people whose homes were either damaged or destroyed is up to 1,785 people, with 716 children, 612 women (including 15 pregnant women) and 457 men. Also, almost all wells and latrines in these areas were damaged by flood waters.",IFRC
EP-2013-000059-CAF,2013-000059,20004,EP,epidemic,CAF,,0.3486135,32.6206723,0.0,0.0,0,2013,1,1,A,0,63,0,0,,4,"Measles outbreaks have been reported in several regions of the Central African Republic, notably in the towns of Ngaoundaye, Abba and Carnot, Begoua and Mbaiki, in suburbs of the capital city, Bangui. From January to April 2013, 63 cases of measles were reported in the capital city, Bangui, including 11 cases in April. Large population movements from rural areas to the capital, Bangui due to insecurity increases the risk of a large-scale outbreak. ",IFRC
ST-2013-000027-CAF,2013-000027,19971,ST,severe local storm,CAF,,0.3486135,32.6206723,0.0,0.0,0,2013,3,4,A,0,0,0,9168,,0,"On Sunday 4 March 2013, neighborhoods of the 3rd, 4th and 6th subdivisions of  Central African Republic, were ravaged by violent winds. The towns of Bimbo and Bouar located some 9 and 450 km respectively from Bangui also experienced heavy rains accompanied by violent winds.",IFRC
FL-2012-000164-CAF,2012-000164,19891,FL,flood,CAF,,0.3486135,32.6206723,0.0,0.0,0,2012,8,20,A,0,0,0,13700,,0,"Since late August and early September 2012, the towns of Paoua, Bangui-Bouchia (Mba?ki), the 2nd, 3rd, 4th, 5th and 8th districts of Bangui, and Begoua have been experiencing a series of torrential rains accompanied by violent winds",IFRC
ST-2012-000091-CAF,2012-000091,19809,ST,severe local storm,CAF,,0.3486135,32.6206723,0.0,0.0,0,2012,5,10,A,0,0,0,1973,,0,"a new wave of heavy rains and violent winds occurred in early May 2012 in Amada-Gaza and in new localities such as Boda Centre, Kanguete, Mboumandourou and Boulay in Central African Republic (CAR).",IFRC
ST-2012-000033-CAF,2012-000033,19750,ST,severe local storm,CAF,,0.3486135,32.6206723,0.0,0.0,0,2012,2,12,A,0,23,1920,0,,1,"Torrential rains have been falling in most localities of the Central African Republic (CAR) since 15 February 2012. The situation deteriorated over the weekend of 18 to 19 February as violent winds occurred, causing serious human casualties and material damages in Bogoula, Amada-Gaza and Mba?ki. ",IFRC
FL-2011-000164-CAF,2011-000164,19595,FL,flood,CAF,Male and BAngui,0.3486135,32.6206723,0.0,0.0,0,2011,10,11,A,0,0,0,2935,,0,"Since 11 October 2011, torrential
rains have been falling in most localities of the
Central African Republic (CAR). These rains
caused flooding that affected 587 families
(roughly 2,935 people) in the 7th subdivision of
Bangui , the capital of CAR, and in the Male Local Council of the Paoua Sub Prefecture located about 510 km from Bangui.",IFRC
EP-2011-000153-CAF,2011-000153,19583,EP,epidemic,CAF,,0.3486135,32.6206723,0.0,0.0,0,2011,10,10,A,0,0,0,0,,0,"A cholera epidemic has been declared in the CAR, with 16 victims as of 8 October, and a few cases in the capital Bangui.",AFP
ST-2011-000073-CAF,2011-000073,19485,ST,severe local storm,CAF,Bangui,-1.2890547,36.7936225,0.0,0.0,0,2011,6,27,A,0,0,0,1830,,0,"Since 11 June 2011, Bangui the capital city of
the Central African Republic (CAR) is affected by violent
wind coupled with torrential rains. The situation worsened
over the weekend of 18 to 19 June 2011 with serious
consequences in 7 neighbourhoods of the 6th subdivision
of Bangui.",IFRC
FL-2010-000168-CAF,2010-000168,19184,FL,flood,CAF,,-1.2890547,36.7936225,0.0,0.0,0,2010,7,25,A,0,0,0,2598,,1,"The rainy season that started in July in CAR reached its peak on 7 August, 2010 when torrential rain caused serious floods in Bossangoa; a Northern locality situated 350 km from Bangui, the capital of CAR. ",IFRC
FL-2009-000129-CAF,2009-000129,18828,FL,flood,CAF,Bangui,-1.2890547,36.7936225,0.0,0.0,0,2009,6,15,A,0,0,11,0,,0,"Torrential rain and floods have left almost 11,000 people homeless in Bangui since mid-June. Half of the eight districts in the capital have been affected by the floods. Many people have been hurt.",Agence France Presse
VW-2009-000082-CAF,2009-000082,18777,VW,violent wind,CAF,"Grimari, Zangba, Mboki, Olo and Mba?ki",-1.2890547,36.7936225,0.0,0.0,0,2009,4,23,A,0,0,0,10,,0,"Since February 2009, heavy rains accompanied by violent winds and tornados have been hitting the Central African Republic (CAR) causing several damages. The disaster started in Bangui, the capital of the country, and extended to Berberati, Eastern CAR. Some funds were allocated in February 2009 from the International Federation?s DREF to assist the 278 vulnerable families that had been identified in the affected localities.","IFRC, DREF Bulletin"
ST-2009-000029-CAF,2009-000029,18717,ST,severe local storm,CAF,Bangui,-1.2890547,36.7936225,0.0,0.0,0,2009,1,29,A,17,0,0,2886,,0,"Local storm and torrential rain occurred in the second subdivision and other neighbourhoods of Bangui, the capital of the Central African Republic (CAR), in the night of 17 to 18 January 2009, causing serious material damages and killing a 17-year old boy. A joint team from the Ministry of Family and Social Affairs, the CAR Red Cross Society (CAR RCS), local authorities and volunteers carried out an evaluation of the situation in the field and realized that most of the people affected were women, children and old persons. They also noticed that the victims have been sleeping on the floor and in a seriously mosquito-infected locality since the disaster occurred. ",IFRC DREF bulletin
EP-2009-000014-CAF,2009-000014,18702,EP,epidemic,CAF,,-1.2890547,36.7936225,0.0,0.0,0,2009,1,15,A,0,0,0,0,,0,"Recurrent yellow fever outbreaks have been registered in the Central African Republic. The recent outbreaks are requesting a response in 2 separate geographic areas of the country, with one of them being close to the capital Bangui.","IFRC, DREF report"
FL-2008-000150-CAF,2008-000150,18557,FL,flood,CAF,Mambere Kadei Prefecture,-1.2890547,36.7936225,0.0,0.0,0,2008,8,15,A,3,0,225,255,,0,"Heavy rains fell in the Mambere Kadei Prefecture in August, 2008 resulting in floods and landslide in Berberati, an area located 600 km North West of Bangui, the capital of the Central African Republic (CAR), along the border with Cameroon. The landslide left three male children death, affected 51 families and left 225 people homeless. About 114 houses were also destroyed, some partially and others completely",International Federation information bulletin n?1
EP-2008-000021-CAF,2008-000021,18116,EP,epidemic,CAF,Nana Gribizi health district,-1.2890547,36.7936225,0.0,0.0,0,2008,1,1,A,5,0,0,25,,1,25 cases of meningitis were registered in the Nana Gribizi district.,IFRC DREF operation MDRCF002
FL-2007-000174-CAF,2007-000174,18000,FL,flood,CAF,Bangui,-1.2890547,36.7936225,0.0,0.0,0,2007,8,11,A,0,0,1812,5397,,3,"Heavy rains have caused flooding in various localities, causing serious material damages. Houses have been partially or fully destroyed and many people have been made homeless. The displaced people are exposed to diseases and there is a lack of clean and safe drinking water. Additionally, water wells have been contaminated by floodwater and sewage from destroyed latrines.",IFRC Information Bulletin n? 1
FL-2005-000137-CAF,2005-000137,17181,FL,flood,CAF,,-1.2890547,36.7936225,0.0,0.0,0,2005,8,19,A,0,0,0,0,,0,"From 6-7 August, the southern part of the Central African Republic was hit by torrential rains.  The heavy downpour caused varying degrees of damage to all areas of the capital city, Bangui, and severe flooding and destruction to four districts of the city, Malimaka, Ngaraba-Bangouma, Being and Petevo, along the southern banks of the Ubangui River.  An assessment carried out by the Central African Republic Red Cross concluded that the floods affected approximately 9,076 people at the onset of the crisis.  In addition, over 600 homes were completely destroyed and 800 were damaged.  Water sources and wells were polluted, exposing the population to risks of water-borne diseases.  The floods particularly affected the poorest and most heavily populated districts of Bangui.",OCHA Sitrep No 1
