Province,Health Zone,Avg days (prior),Avg days (follow-up),Log2 ratio,Flag
Ituri,Lita,1.153e+00,1.085e+00,-8.800e-02,
Ituri,Nizi,9.881e-01,9.320e-01,-8.400e-02,
Ituri,Bambu,7.674e-01,8.123e-01,8.200e-02,
Ituri,Tchomia,5.732e-01,5.505e-01,-5.800e-02,
Ituri,Kilo,3.973e-01,3.586e-01,-1.480e-01,
Ituri,Gety,3.174e-01,2.987e-01,-8.800e-02,
Ituri,Damas,2.145e-01,1.966e-01,-1.260e-01,
Ituri,Komanda,2.105e-01,1.874e-01,-1.680e-01,
Ituri,Drodro,1.026e-01,8.585e-02,-2.560e-01,
Nord-Kivu,Katwa,5.049e-02,5.021e-02,-8.000e-03,
Ituri,Mambasa,4.553e-02,4.492e-02,-2.000e-02,
Ituri,Mahagi,5.086e-02,4.373e-02,-2.180e-01,
Ituri,Logo,4.759e-02,4.263e-02,-1.590e-01,
Ituri,Fataki,5.076e-02,3.742e-02,-4.400e-01,
Nord-Kivu,Butembo,3.324e-02,3.058e-02,-1.200e-01,
Ituri,Rimba,3.343e-02,2.853e-02,-2.280e-01,
Nord-Kivu,Beni,2.895e-02,2.617e-02,-1.460e-01,
Haut-Uele,Watsa,2.525e-02,2.598e-02,4.100e-02,
Ituri,Boga,3.444e-02,2.424e-02,-5.060e-01,
Ituri,Nyarambe,1.772e-02,1.860e-02,7.000e-02,
Ituri,Aru,1.953e-02,1.857e-02,-7.300e-02,
Tshopo,Makiso Kisangan,2.113e-02,1.824e-02,-2.120e-01,
Ituri,Nia Nia,1.625e-02,1.560e-02,-5.900e-02,
Ituri,Mandima,2.223e-02,1.540e-02,-5.300e-01,
Nord-Kivu,Oicha,1.586e-02,1.479e-02,-1.000e-01,
Ituri,Biringi,1.373e-02,1.359e-02,-1.600e-02,
Nord-Kivu,Musienene,1.207e-02,1.308e-02,1.160e-01,
Ituri,Angumu,1.216e-02,1.238e-02,2.500e-02,
Ituri,Kambala,1.088e-02,1.153e-02,8.400e-02,
Ituri,Lolwa,1.330e-02,1.106e-02,-2.650e-01,
Ituri,Ariwara,1.177e-02,1.072e-02,-1.350e-01,
Haut-Uele,Gombari,1.107e-02,1.071e-02,-4.800e-02,
Ituri,Rethy,7.968e-03,1.056e-02,4.060e-01,
Ituri,Aungba,8.864e-03,8.901e-03,6.000e-03,
Nord-Kivu,Kalunguta,7.899e-03,8.103e-03,3.700e-02,
Tshopo,Kabondo,1.047e-02,7.305e-03,-5.190e-01,
Nord-Kivu,Kyondo,5.093e-03,6.672e-03,3.900e-01,
Haut-Uele,Isiro,7.736e-03,6.475e-03,-2.570e-01,
Haut-Uele,Makoro,5.402e-03,6.241e-03,2.080e-01,
Nord-Kivu,Goma,5.790e-03,4.881e-03,-2.460e-01,
Kinshasa,Gombe,6.544e-03,4.743e-03,-4.640e-01,
Haut-Uele,Dungu,3.958e-03,4.666e-03,2.370e-01,
Nord-Kivu,Karisimbi,5.237e-03,4.168e-03,-3.300e-01,
Nord-Kivu,Mutwanga,3.998e-03,4.053e-03,2.000e-02,
Haut-Uele,Wamba,4.505e-03,3.970e-03,-1.820e-01,
Tshopo,Tshopo,4.872e-03,3.512e-03,-4.720e-01,
Nord-Kivu,Masereka,2.936e-03,3.195e-03,1.220e-01,
Kinshasa,Binza Ozone,4.234e-03,2.998e-03,-4.980e-01,
Tshopo,Mangobo,4.077e-03,2.981e-03,-4.520e-01,
Nord-Kivu,Nyiragongo,3.199e-03,2.978e-03,-1.030e-01,
Tshopo,Bafwasende,2.743e-03,2.770e-03,1.400e-02,
Nord-Kivu,Kayna,2.142e-03,2.743e-03,3.570e-01,
Kinshasa,Limete,3.302e-03,2.669e-03,-3.070e-01,
Sud-Kivu,Katana,1.335e-03,2.497e-03,9.040e-01,
Sud-Kivu,Ibanda,2.096e-03,2.417e-03,2.060e-01,
