Province,Health Zone,Avg days (prior),Avg days (follow-up),Log2 ratio,Flag
Nord-Kivu,Musienene,1.698e+00,1.644e+00,-4.600e-02,
Nord-Kivu,Kalunguta,5.897e-01,5.234e-01,-1.720e-01,
Nord-Kivu,Oicha,4.760e-01,4.433e-01,-1.030e-01,
Nord-Kivu,Kyondo,2.914e-01,3.320e-01,1.880e-01,
Nord-Kivu,Mabalako,3.516e-01,3.061e-01,-2.000e-01,
Ituri,Mandima,3.302e-01,2.191e-01,-5.920e-01,
Nord-Kivu,Masereka,2.039e-01,1.852e-01,-1.380e-01,
Nord-Kivu,Mutwanga,1.749e-01,1.647e-01,-8.700e-02,
Ituri,Komanda,1.128e-01,9.076e-02,-3.130e-01,
Ituri,Mambasa,9.481e-02,8.711e-02,-1.220e-01,
Ituri,Bunia,8.954e-02,8.423e-02,-8.800e-02,
Nord-Kivu,Lubero,8.530e-02,7.361e-02,-2.130e-01,
Ituri,Rwampara,7.532e-02,7.158e-02,-7.300e-02,
Ituri,Nia Nia,6.735e-02,6.208e-02,-1.170e-01,
Haut-Uele,Watsa,4.648e-02,4.705e-02,1.800e-02,
Ituri,Mongbwalu,5.757e-02,3.859e-02,-5.770e-01,
Tshopo,Makiso Kisangan,3.638e-02,3.533e-02,-4.200e-02,
Nord-Kivu,Manguredjipa,2.978e-02,3.436e-02,2.070e-01,
Nord-Kivu,Kayna,3.045e-02,2.999e-02,-2.200e-02,
Nord-Kivu,Karisimbi,3.712e-02,2.799e-02,-4.070e-01,
Haut-Uele,Wamba,3.079e-02,2.751e-02,-1.630e-01,
Nord-Kivu,Goma,3.331e-02,2.733e-02,-2.850e-01,
Haut-Uele,Gombari,2.907e-02,2.503e-02,-2.160e-01,
Nord-Kivu,Biena,2.247e-02,2.321e-02,4.700e-02,
Nord-Kivu,Nyiragongo,2.157e-02,1.771e-02,-2.850e-01,
Ituri,Lita,1.769e-02,1.745e-02,-2.000e-02,
Haut-Uele,Isiro,1.763e-02,1.739e-02,-2.000e-02,
Tshopo,Kabondo,1.805e-02,1.647e-02,-1.320e-01,
Ituri,Lolwa,1.592e-02,1.324e-02,-2.660e-01,
Nord-Kivu,Kamango,1.583e-02,1.242e-02,-3.500e-01,
Nord-Kivu,Alimbongo,1.031e-02,1.056e-02,3.500e-02,
Sud-Kivu,Ibanda,9.412e-03,1.033e-02,1.340e-01,
Ituri,Nyankunde,1.063e-02,9.530e-03,-1.580e-01,
Haut-Uele,Dungu,1.012e-02,9.380e-03,-1.090e-01,
Nord-Kivu,Walikale,1.090e-02,7.987e-03,-4.490e-01,
Sud-Kivu,Kadutu,7.007e-03,7.888e-03,1.710e-01,
Haut-Uele,Makoro,8.362e-03,7.650e-03,-1.280e-01,
Tshopo,Bafwagbogbo,6.189e-03,5.993e-03,-4.700e-02,
Tshopo,Bafwasende,4.806e-03,5.608e-03,2.230e-01,
Ituri,Aru,6.326e-03,5.552e-03,-1.880e-01,
Tshopo,Mangobo,4.440e-03,5.209e-03,2.300e-01,
Ituri,Ariwara,5.553e-03,5.159e-03,-1.060e-01,
Maniema,Kindu,5.248e-03,5.098e-03,-4.200e-02,
Kinshasa,Gombe,6.202e-03,4.941e-03,-3.280e-01,
Nord-Kivu,Rutshuru,3.950e-03,4.896e-03,3.100e-01,
Tshopo,Tshopo,5.777e-03,4.857e-03,-2.500e-01,
Haut-Uele,Pawa,4.039e-03,4.067e-03,1.000e-02,
Ituri,Nizi,4.992e-03,4.008e-03,-3.170e-01,
Ituri,Biringi,3.796e-03,3.436e-03,-1.440e-01,
Kinshasa,Binza Ozone,4.465e-03,3.386e-03,-3.990e-01,
Tshopo,Wanierukula,2.691e-03,3.321e-03,3.030e-01,
Ituri,Tchomia,5.263e-03,3.251e-03,-6.950e-01,
Ituri,Bambu,3.387e-03,3.188e-03,-8.700e-02,
Bas-Uele,Bondo,4.830e-03,2.967e-03,-7.030e-01,
Ituri,Aungba,2.581e-03,2.858e-03,1.470e-01,
Ituri,Gety,3.246e-03,2.639e-03,-2.990e-01,
Ituri,Kilo,3.852e-03,2.614e-03,-5.600e-01,
Tshopo,Lubunga,2.326e-03,2.339e-03,8.000e-03,
Kinshasa,Limete,2.328e-03,2.298e-03,-1.800e-02,
Kinshasa,Lingwala,3.052e-03,2.275e-03,-4.240e-01,
Tshopo,Banalia,2.691e-03,2.254e-03,-2.560e-01,
Sud-Kivu,Katana,1.482e-03,2.210e-03,5.760e-01,
Kinshasa,Kinshasa,2.669e-03,2.180e-03,-2.920e-01,
