glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
FL-2026-000004-MOZ,2026-000004,23717,FL,flood,MOZ,"Mozambique, South Africa, Zimbabwe",-23.4735288,29.3959199,0.0,0.0,0,2026,1,19,A,0,0,0,0,0,1,"GDACS - Medium humanitarian impact in for Mozambique, South Africa, Zimbabwe.&lt;ul&gt;
&lt;li&gt;Very heavy rainfall has been affecting Mozambique (mainly the southern and the central provinces) since 24 December, causing widespread floods that have resulted in an increasing humanitarian impact. The worst affected provinces are Gaza, Maputo, Inhambane and Sofala.&lt;/li&gt;
&lt;li&gt;As of 19 January, the National Disasters Management Institute (INGD) reports 43 fatalities, 28 injured people, approximately 68 600 currently evacuated people in 77 accommodation centres and a total of nearly 610 000 affected people across the country. In addition, INGD also reports 3 231 destroyed houses and around 78 000 damaged houses countrywide.&lt;/li&gt;
&lt;li&gt;DG ECHO partners in Mozambique, CARE and WFP, are currently responding to the crisis.&lt;/li&gt;
&lt;li&gt;The Copernicus EMS was activated in rapid mapping mode on 17 January. 14 maps have been produced so far.&lt;/li&gt;
&lt;li&gt;Moreover, very heavy rainfall since early January caused severe floods across the neighbouring South Africa and Zimbabwe. In South Africa, the death toll reached 30 fatalities since late December. The worst affected provinces are Limpopo and Mpumalanga. In Zimbabwe, 70 fatalities were reported across Masvingo, Manicaland, Midlands and Mashonaland East provinces.&lt;/li&gt;
&lt;li&gt;Over the next 24 hours, more heavy rainfall, with locally very heavy rainfall, is still forecast over most of Mozambique, north-eastern South Africa and all of Zimbabwe.&lt;/li&gt;
&lt;/ul&gt; ",GDACS
FL-2025-000228-MOZ,2025-000228,23712,FL,flood,MOZ,Mozambique,-20.1561586,34.738304,0.0,0.0,3,2025,12,22,A,0,0,0,0,0,36,"GDACS - Medium humanitarian impact in for Mozambique.UNOCHA reported flooding in provinces of Mozambique after heavy rain brought by an active low-pressure system over the Mozambique Channel in late December 2025.

An estimated 123,551 people were exposed to potential flood impacts across the Buzi, Pungu? and Licungo river basins.

As of 28 December, about 9,000 people were displaced in Sofala Province.

Local media, quoting figures from the National Institute for Disaster Risk Management and Reduction, reported 16 people had died as a result of severe weather conditions in Sofala Province since October 2025.

In a report of 09 January 2026, UN OCHA said areas of Nampula, Niassa, Manica, Sofala, Tete and Zamb?zia provinces. The district level locations specified were:

Zamb?zia Province: Maganja da Costa, Mocuba, Namacurra, Namarroi, Guru?, Il?, Quelimane

Sofala Province: Nhamatanda, Buzi, Gorongosa, Chemba

Niassa Province: Lago, Muembe, Marrupa, Chimbunila and Cuamba

Tete Province: Mutarara ",GDACS
FL-2025-000227-MOZ,2025-000227,23711,FL,flood,MOZ,,-18.665695,35.529562,0.0,0.0,0,2025,12,24,A,0,0,0,0,,0,"Between 24 December and 7 January, heavy rains and floods affected 75,325 people (14,310 families) across Nampula, Niassa, Manica, Sofala, Tete and Zamb&eacute;zia, with 21 deaths reported.",OCHA
TC-2025-000027-MOZ,2025-000027,23472,TC,tropical cyclone,MOZ,"Mozambique, Madagascar",-26.04,51.93,0.0,0.0,3,2025,3,8,A,0,0,0,0,0,8,"GDACS - Tropical Cyclone JUDE-25 High humanitarian impact, max wind speed 148 km/h",GDACS
TC-2024-000224-MOZ,2024-000224,23417,TC,tropical cyclone,MOZ,,-18.665695,35.529562,0.0,0.0,0,2024,12,15,A,0,0,0,0,,0,"On 15 December, Tropical Cyclone Chido made landfall in Mozambique, bringing strong winds and heavy rain.",
DR-2024-000073-MOZ,2024-000073,23219,DR,drought,MOZ,,-18.665695,35.529562,0.0,0.0,0,2024,5,22,A,0,0,0,0,,0,"As vast parts of southern Africa  grapple with an unprecedented mid-season dry spell, the food security situation in Mozambique continues to deteriorate. The compounded effects of El Ni&ntilde;o, above-average temperatures, extreme weather events such as Tropical Storm Filipo, excessive floods, coupled with the lasting impact of past shocks such as Tropical Cyclone Freddy, are exacerbating the situation. The 2023-2024 El Ni&ntilde;o has been one of the strongest on record, bringing below-average rainfall between October 2023 and February 2024 in southern and central Mozambique, and average to above average rainfall to the northern part of the country. This disruption continues to impact agriculture and rural livelihoods.[1] Between November 2023 and February 2024, typically the rainy season in Mozambique, the southern and central regions of the country experienced..",
TC-2024-000032-MOZ,2024-000032,23174,TC,tropical cyclone,MOZ,,-25.7392282321863,32.56325340625,0.0,0.0,3,2024,3,12,A,0,0,0,0,,0,"TC Filipo: The National Institute for Disaster Management (INGD) report that 48,116 people (8,533 households) were affected in the provinces of Gaza, Inhambane, Maputo and Sofala. Two deaths and 25 people injured have been reported. According to the information available, the most affected area is Maputo city with 25,455 people affected (2 percent of total population). Damage to infrastructure includes 8,000 houses partially/completely damaged, 146 schools (22,442 students) affected along with 51 health centres, 56 electric poles, and 19 roads affected. The highest humanitarian needs are in education, shelter/NFIs, water purification and hygiene kits. Infrastructure reconstruction/rehabilitation needs have also been identified.",OCHA
FL-2023-000018-MOZ,2023-000018,22794,FL,flood,MOZ,,-25.6600317727044,32.5852260625,0.0,0.0,0,2023,2,7,A,0,0,0,0,,0,"Between 7-10 February, heavy rains reaching up to 100 mm in 24 hours hit the southern region of the country, causing widespread flooding in Maputo city and Maputo province. According to the National Institute for Disaster Management and Risk Reduction, the rain already affected some 30,605 people (5,721 families), displaced 422 people, and killed four people. Five accommodation centers have been established that are currently hosting 422 people.",United Nations Office for the Coordination of Humanitarian Affairs
EP-2023-000006-MOZ,2023-000006,22780,EP,epidemic,MOZ,"Niassa, Sofala, GAZA, Zambezia, TETE",-18.665695,35.529562,0.0,0.0,0,2023,1,16,A,14,0,0,878,,0,"On 8th January 2023, the Niassa Daily Cholera Bulletin from MoH was showing an alarming increase in the number
of Cholera cases in this Province neighbor of Malawi where the epidemy is worsening. Niassa was recording 379
cholera confirmed cases and 6 deaths in Lago, 250 in Lichinga district with 2 deaths reported.
As of 13th January 2023, the reports from MoH shows cumulative number of cases of 878 confirmed cases and 14
deaths. 2 suspected cases offciailly declared and cases of diarrhea reported in the field. This is an increase of 80%
of the cases recorded on 21 December 2022 which was 409 cases confirmed with 7 reported deaths.
The Outbreak started in 2022. Even if there are no more active cases in TETE Province, suspected cases remain and
areas is in at risk areas due to proximity with Malawi. On the 15th of Dec 2022 the Government of Mozambique
reportedly announced the confirmation of the Cholera outbreak in the districts of Lichinga and Lago in the Niassa
province. In late September, a cholera outbreak was declared in Lago district in Mozambique which borders Malawi
(through Lake Malawi also known as Lake Nyasa). Shortly, cases started to be reported in the neighboring district of
Lichinga and others provinces.
Five (05) provinces are facing the outbreak and/or at risk. Concerned areas include provinces of Niassa with districts
of Lago, Lichinga , Sanga, Chimbonila and Mecanhelas; province of Gaza : Xai-Xai, Chilaulene districts; Tete province;
Zambezia; Sofala: Caia and Buzi districts. Similar risk is also considered by in other surrounding countries, mainly
Malawi, Zimbabwe, Tanzania, Zambia. Malawi is bordering Niassa and it is likely that transmission is linked to
activities with countries borders districts, activities along the borders areas, rainfalls and festive season. 
in cases and cross-border movements risk the spread of cholera to neighboring countries of Mozambique and vice
versa. Niassa Province is bordering Malawi, that has been battling Cholera outbreak for over five months with a
deteriorating situation. Now spreading to the Southern part if the country and bordering areas with Mozambique.
There are cases of diarrheic being reported in others districts in NIASSA as well but no cholera laboratory confirmation yet. The upcoming rainy season further poses a threat of disease spreading nation-wide.",Mozambique Red Cross and IFRC
TC-2022-000184-MOZ,2022-000184,22546,TC,tropical cyclone,MOZ,,-14.1990883546453,38.1223354375,0.0,0.0,0,2022,3,11,A,0,0,0,0,,0,"Tropical Cyclone Gombe has affected 100,441 people (20,307 families) in both Nampula and Zambezia provinces, and caused 15 deaths and injured 50 people, according to preliminary data released by the Government. Moreover, the Cyclone has displaced 11,629 people, who are currently hosted in temporary accommodation centers.",
