glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
OT-2025-000014-MRT,2025-000014,23458,OT,other,MRT,,21.00789,-10.940835,0.0,0.0,0,2025,1,28,A,0,0,0,0,,0,"The internal conflict in northern, central and southern Mali has intensified, leading to an increase in the displacement of civilians into Mauritania. As of 30 September, more than 272,000 refugees and returnees had entered the country. Mauritania&#39;s Hodh El Chargui region currently hosts the largest number of Malian refugees, most of whom arrive from the Timbuktu, S&eacute;gou and Koulikoro regions of Mali",https://data.unhcr.org/fr/documents/download/111102
FL-2023-000147-MRT,2023-000147,22942,FL,flood,MRT,Brakna,16.5963683817636,-14.2575255133651,0.0,0.0,0,2023,7,31,A,1,0,527,7200,150 mm,1,"On the night of Sunday to Monday 31 July 2023, torrential rain that lasted for several consecutive hours, exceeding the 150 mm barrier in some areas, fell on the department of Bogh&eacute; in the wilaya of Brakna in southern Mauritania, causing the loss of one human life in the village of Hamdallah in the commune of Dar El Avia and major damage to infrastructure, homes and livelihoods. Several dozen families were displaced when houses collapsed.",
FL-2023-000146-MRT,2023-000146,22941,FL,flood,MRT,Brakna,16.5963683817636,-14.2575255133651,0.0,0.0,0,2023,7,31,A,1,0,527,7200,150 mm,1,"On the night of Sunday to Monday 31 July 2023, torrential rain that lasted for several consecutive hours, exceeding the 150 mm barrier in some areas, fell on the department of Bogh&eacute; in the wilaya of Brakna in southern Mauritania, causing the loss of one human life in the village of Hamdallah in the commune of Dar El Avia and major damage to infrastructure, homes and livelihoods. Several dozen families were displaced when houses collapsed.",
FL-2022-000286-MRT,2022-000286,22649,FL,flood,MRT,"Hodh El Gharbi, Assaba, Tagant",21.00789,-10.940835,0.0,0.0,0,2022,8,3,A,14,0,0,0,,0,"From 25 July to 3 August 2022, heavy rains caused flooding in some regions of Mauritania, notably Hodh El Gharbi, Assaba and Tagant in the south and centre-east of Mauritania. The floods caused extensive material damage to 4,821 households(28,926 people).  It also caused the death of 14 people, most of them children. 3,817 houses were destroyed and a loss of 766 head of livestock was recorded.",Mauritania Red Crescent
OT-2022-000240-MRT,2022-000240,22603,OT,other,MRT,,21.00789,-10.940835,0.0,0.0,0,2022,6,28,A,0,0,0,0,,0,"According to the results of the inter-agency food security analysis of March 2022, in the projected situation (June-July-August 2022) the population to be assisted is 878,921 (or about 20% of the population), of which 678,543 are priorities because they are already in crisis. In the country we have: 09 areas analysed are in the pressure phase, namely: Nouakchott-North, Nouakchott-South, Nouakchott-West, Dakhlet Nouadhibou, the moughataa (departments) of Boutilimitt, R&#39;Kiz, Mederdra, Rosso and Keur Mac&egrave;ne in Trarza. The 39 other areas analysed are all classified in Crisis phase. See map aside. Communes classified in Phase 4, are located in two departments (moughataas): Amourj in Hodh Ech Chargi region, and Kankossa in Assaba region. Both 100% covered in the food insecurity National Response Plan",
FL-2020-000199-MRT,2020-000199,22059,FL,flood,MRT,"Bassiknou, Adel Begrou, Amourj and Néma in Hodh Echargui willayi",15.8503892753226,-5.94848632812501,0.0,0.0,0,2020,9,7,A,3,0,708,9282,,7,"From 1st to 8th September  2020, the wilaya of Hodh Echargui, located in the southeast of the country, on the border with Mali, received heavy rains that exceeded the 100 mm barrier in some areas, with flooding in the cities of Bassiknou, Adel Begrou, Amourj in particular and Néma, the capital of the region in southeastern Mauritania. This resulted in enormous damages in the above named three departments of the region, particularly in the department of Bassiknou, which suffered large-scale material damage to infrastructure such as roads, bridges, protective dikes, markets, and water supply sources, in addition to the destruction of a large part of food stocks. According to preliminary estimates, 9,282 people (1,380 households) are affected to date with 3 deaths recorded. Some 118 households (708 people) are currently homeless.
",Mauritania Red Crescent Society
DR-2020-000167-MRT,2020-000167,22026,DR,drought,MRT,,0.0,0.0,0.0,0.0,0,2020,7,16,A,0,0,0,0,,9,"Mauritania is currently faced with a difficult food and nutritional situation which is like the one of 2018. According to the results of the last harmonized framework of November 2019, 609,184 persons are considered to be in severe food insecurity situation (IPC phases 3, 4) during the lean period between June and October 2020. This is the most serious situation witnessed in the country since the Harmonized Framework has been organized/held in Mauritania (2012). In proportion to its population, Mauritania will be among the most affected countries in the Sahel, with a rate of 14.7% i.e. the highest rate all over the West African Region after The Gambia. ",Mauritania Red Cross
EP-2020-000012-MRT,2020-000012,21917,EP,epidemic,MRT,,21.00789,-10.940835,0.0,0.0,0,2020,3,1,A,870,41867,0,0,,120,"Coronavirus disease (COVID-19) is an infectious disease caused by the SARS-CoV-2 virus. It originated in Wuhan, China, at the end of 2019, and spread rapidly over the world.  Coronaviruses are a large family of viruses with some causing less-severe disease, such as the common cold, and others more severe like COVID-19. Coronavirus has impacted also Mauritania, where authorities have reported as of December 31, 2021 more than 41867 total cases, with over 870 deaths. ","WHO, Woldometers, MoHealth"
FL-2019-000108-MRT,2019-000108,21592,FL,flood,MRT,,0.0,0.0,0.0,0.0,0,2019,8,26,A,0,0,0,0,,0,"From 26 to 27 August 2019, the Region of Guidimakha received rainfall of over 200mm affecting, 4,200 households (33,600 people) who are now in dire need of support. In response, Mauritania Red Crescent, conducted some distributions  the Region of Guidimakha received between 25 and 27 August, rainfall of over 200mm affecting ,4,200 households (33,600 people) who are now in dire need of support. In response, Mauritania Red Crescent (MRC) volunteers helped affected communities get to safer areas and attended all relevant coordination meetings in view of response.","Mauritania Red Crescent, IFRC."
DR-2018-000063-MRT,2018-000063,21072,DR,drought,MRT,"moughataas, mauritania",21.00789,-10.940835,0.0,0.0,0,2018,3,12,A,0,0,0,0,,0,"According to the 2018 Harmonized Framework, 350,600 people are in severe food insecurity (Phase 3,4) and the figures could reach up to 538,446 people for the projected period of June to August 2018 (14 percent of the population). ",
OT-2017-000112-MRT,2017-000112,20909,OT,other,MRT,,18.0623123045468,-15.93505859375,0.0,0.0,0,2017,7,31,A,0,0,0,280000,,3,"The food security situation is deteriorating after the significant rainfall deficit and the consequent drop in crop production. Up to 280,000 people are currently affected by severe food insecurity with 29,400 in the phase 4, ""emergency.""",IFRC
FL-2013-000119-MRT,2013-000119,20075,FL,flood,MRT,,21.00789,-10.9408349999999,0.0,0.0,0,2013,8,1,A,6,0,0,0,,0,"The rainstorms that commenced on the first week of August have taken a heavy toll on the in several regions. To date, the rainstorms have affected at least four (4) regions causing extensive damage to properties and resulting in six (6) deaths. To date, four districts are affected by floods.",IFRC
OT-2012-000024-MRT,2012-000024,19739,OT,other,MRT,Fassala,15.5505556,-5.39305560000002,0.0,0.0,0,2012,2,17,A,0,0,11000,11000,,0,"Following the armed conflict in the northern part of Mali, the refugees fleeing Mali entered Mauritania, mainly Fassala in the district of Bassikounou located in the far South-East. More than 11,000 people have already crossed the border in Mauritania. With the poor rainfall registered in 2011, the Hodh Chargui region (where Fassala is located) is already facing an alarming nutrition crisis. The arrival of the Malian refugees constitutes an additional pressure on the poor resources, and this situation deeply weakens an already desperate humanitarian context for both the refugees and the host communities. Therefore, the arrival of these Malian refugees aggravates this gloomy picture. ",IFRC
OT-2011-000205-MRT,2011-000205,19713,OT,other,MRT,,21.00789,-10.9408349999999,0.0,0.0,0,2011,9,12,A,0,0,0,0,,0,"More than a million children in the Sahel region are at risk of becoming severely malnourished as inadequate rain, poor harvests and rising food prices have left hundreds of thousands vulnerable and weak.",UNICEF
DR-2011-000172-MRT,2011-000172,19604,DR,drought,MRT,,21.00789,-10.9408349999999,0.0,0.0,0,2011,11,10,A,0,0,0,0,,0,Dry spells and poor distribution of rainfall in the 2011 growing season (Jul-Oct) resulted in a serious decline in cereal production. Low coping capacity will result in progressively worsening livelihood protection deficits and above-average needs for emergency food assistance. The government announced an intervention program on 10 Nov 2011.,"Government, FEWS NET, FAO"
FL-2010-000176-MRT,2010-000176,19193,FL,flood,MRT,,21.00789,-10.940835,0.0,0.0,0,2010,9,8,A,0,0,0,0,,0,"Torrential rain from 19 to 21 August 2010 led to the flooding of 8 regions affecting 38 communities. The collapse of houses has led to the displacement of over 1,000 families.",IFRC
FL-2009-000170-MRT,2009-000170,18871,FL,flood,MRT,,21.00789,-10.940835,0.0,0.0,0,2009,8,29,A,0,0,0,0,,0,"A child was killed and more than 3,500 people were left homeless when heavy rains caused houses to collapse in southwestern Mauritania, state media reported on Saturday
(29/08/2009)",AFP
FL-2007-000127-MRT,2007-000127,17699,FL,flood,MRT,,21.00789,-10.940835,0.0,0.0,0,2007,8,13,A,2,0,0,2,,0,"remote border town after floods killed at least two people and swept away houses, leaving thousands homeless",Reuters
FL-2006-000106-MRT,2006-000106,17402,FL,flood,MRT,,21.00789,-10.940835,0.0,0.0,0,2006,7,29,A,0,0,0,0,,0,"Since the beginning of July, heavy rains have been pouring down in the region of Brakna, South-eastern part of
Nouakchott, Mauritania, flooding the region and leaving several families homeless. The worst came with a storm in
the night of 22 July, killing seven people among them five members of the same family including two children, who
perished in the village of Ednesh, 19 people were injured. The wind and flooding have left about 320 families homeless in several villages and towns with Boutilimit, 150 km away from Nouakchott, being the most affected.
The state radio has reported that the severe storms and flooding in this part of the arid and dry country, which
experiences these kinds of hazards during the rainy season, will last until October. The city of Aleg alone recorded
102 ml of rain that caused flooding, with about 160 displaced families accommodated in provisional shelters in
schools. Most of these populations have also lost their crops and most of their belongings. In response, the state has
set up a crisis committee that deployed a team right after the storm struck and distributed food items, about 150
tents and blankets.
Despite efforts made by local social services, officials said",IFRC DREF Bulletin
