glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
DR-2024-000094-NAM,2024-000094,23242,DR,drought,NAM,,-22.95764,18.49041,0.0,0.0,0,2024,5,22,A,0,0,0,0,,0,"On 22 May, the Government of Namibia declared the State of Emergency following the worst drought that the country has experienced in 100 years. According to media reports, every one in five Namibians is considered food insecure. Against the backdrop of scarce rains, over 331,000 households have already registered for the government-funded drought relief programme to assist the affected communities. ",ECHO
DR-2023-000269-NAM,2023-000269,23222,DR,drought,NAM,Namibia,-12.0,22.998,0.0,0.0,0,2023,8,21,A,0,0,0,0,0,619,GDACS - Medium impact for agricultural drought in 55774 km2 over Namibia-2023 ,GDACS
FL-2023-000021-NAM,2023-000021,22797,FL,flood,NAM,Oshana and Ohangwena,-22.95764,18.49041,0.0,0.0,0,2023,2,7,A,2,0,0,2190,,0,"Heavy rains were received in south eastern parts of Angola and north eastern parts of Namibia in the Cuvelai catchment during the 2nd week of January 2023, resulting in flooding conditions in Ondjiva and surrounding areas. First floodwaters were observed in some of the eastern flowing Cuvelai Iishanas (river plains) in the morning of Friday the 13th of January 2023 and during the early hours of the 17th of January, the hydrological recording station at Shanalumono located approximately 10km southwest of Oshikango reported floodwaters reaching the central Cuvelai Iishanas (river plain) with local media reporting dozens of homes flooded in several villages including Engela and Ouhongo (https://floodlist.com/africa/angola-namibia-floods-cuvelai-january-2023#:~:text=In%20Namibia%2C%20water%20flowing%20from,villages%20including%20Engela%20and%20Ouhongo.). Shanalumono is one of the main Iishanas (river plains) of the central Cuvelai River System on the Namibian side. According to the Namibia Hydrological Services, the water levels in the main Iishanas (river plains) south of the Angola/Namibia border are rising. As of 27th of January 2023, water levels at Engela station exceeded the 1m mark. Flood levels continue to increase as more rain persists in the Cuvelai catchment. 

The NRCS commenced joint assessments with the different government departments in the Ohangwena and Oshana regions on the 14th of January 2023.  A total of 2190 people are affected by the floods with 582 people (111 households) whose houses were totally submerged in water and 1608 people (327 households) whose houses were partially submerged. Of the total 2190 affected people, 300 people are from the Oshana region, and 1890 people are from the Ohangwena region. 582 people (111 households) whose houses were totally submerged were displaced and evacuated to 9 relocation sites (7 camps are in the Ohangwena region and housing 332 people, whilst 2 camps are in the Oshana region and housing 250 people). As 35 schools in the Ohangwena region, school equipment, and infrastructure have been damaged and 18 of the schools are currently closed. At several schools, learners have started camping at the school as they are not able to return to their homes on a daily basis due to the rising water. In the Ohangwena region, three (3) clinics have been cut off with communities not having access to them.",NAMIBIA RC AND IFRC
CE-2021-000028-NAM,2021-000028,22147,CE,complex emergency,NAM,Omusati and Ohangwena Regions,0.0,0.0,0.0,0.0,0,2021,3,24,A,0,0,894,894,,0,"Since the beginning of March 2021, Angolans living in the border provinces of Cunene and Huila in Angola, are crossing into Namibia at illegal entry points in Omusati and Ohangwena regions in search of food, water, medical services and employment opportunities. 

",Namibia Red Cross Society
FR-2020-000174-NAM,2020-000174,22033,FR,fire,NAM,Walvis Bay ,-22.9609223151763,14.5162963867187,0.0,0.0,0,2020,7,25,A,1,1,1200,1200,,1,"A devastating fire broke out on the 25th of July 2020 affecting the Twaloloka informal settlement in Walvis Bay rural constituency, Erongo region, destroying houses (shacks) leaving people homeless. The Walvis Bay Rural Constituency office has established that about 200 households/1,200 people are affected, with more than 150 houses totally destroyed. ",Namibia Red Cross Society
EP-2020-000012-NAM,2020-000012,21902,EP,epidemic,NAM,,-22.95764,18.49041,0.0,0.0,0,2020,3,1,A,3655,149478,0,10,,120,"Coronavirus disease (COVID-19) is an infectious disease caused by the SARS-CoV-2 virus. It originated in Wuhan, China, at the end of 2019, and spread rapidly over the world.  Coronaviruses are a large family of viruses with some causing less-severe disease, such as the common cold, and others more severe like COVID-19. Coronavirus has impacted also Namibia, where authorities have reported as of December 31, 2021 more than 149478 total cases, with over 3655 deaths. ","WHO, Woldometers, MoHealth"
EP-2018-000101-NAM,2018-000101,21949,EP,epidemic,NAM,,-22.95764,18.49041,0.0,0.0,0,2018,1,1,A,0,0,0,0,,0,"The capital city of Windhoek is on high alert after an outbreak of Hepatitis E that has claimed three lives, while 554 people are undergoing treatment. Namibia has been battling Hepatitis E since mid-December 2017, after the first cases were detected in an informal settlement of Windhoek. The number has since been rising steadily.",ReliefWeb - OCHA
FL-2017-000027-NAM,2017-000027,20815,FL,flood,NAM,,-22.5531474784032,17.0458984375,0.0,0.0,0,2017,3,15,A,0,0,0,0,,0,"Heavy rains during the period of January-March 2017 within the Cuvelai River Basin in Angola and localized rainfalls in Oshana, Oshikoto, Ohangwena, Omusati has resulted in localized flooding in Iishana (shallow flood plains). 
On 09 March 2017, the Hydrological Services Namibia (HSN) in the Ministry of Agriculture, Water and Forestry (MAWF) in collaboration with the Directorate of Disaster Risk Management in the Office of the Prime Minister (OPM), and Meteorological Services issued a joint statement on the looming floods (see Annex 1). HSN further warned that the current flooding situation in the Cuvelai is comparable to that of 2011, which caused major damages in houses and infrastructure, and has requested for contingency preparedness and activation. The Hydrological Department in Ondjiva in Angola informed HSN that flood water has reached and flooded Ondjiva, which is likely to increase water levels in Namibian Cuvelai Iishanas as a result of heavy rainfall in the catchment area. HSN hydrological gauging stations recorded highest water levels compare with the floods that hit the same areas in 2008, 2009 and 2011 due to heaving rains in Namibia and in the bordering areas. Through the Regional Disaster Risk Management Committees of Oshana and Omusati regions, Namibia Red Cross Society Regional staff conducted field visits to relocation camps in both regions to investigate the extent and impact of the floods.",IFRC
DR-2015-000130-NAM,2015-000130,20553,DR,drought,NAM,,-18.4152575,16.912251,0.0,0.0,0,2015,9,18,A,0,0,0,580000,,0,"Due mainly to the low rainfall received throughout the country, grazing in most parts of the country is poor and in Kunene region where a large number of farmers are pastoralists, the grazing has been reported to be critically poor to poor.
Grazing condition in most areas of Oshikoto, Oshana, Ohangwena and Omusati regions is worrisome and range between fair to poor.",IFRC
EP-2014-000025-NAM,2014-000025,20158,EP,epidemic,NAM,,-20.2209657795223,15.419921875,0.0,0.0,0,2014,2,17,A,0,0,0,0,,0,"Since November 2013, Namibia has been affected by a cholera outbreak, which was initially confined to four northern regions, including hardest hit Kunene, as well as Omusati, Oshana and Ohangwena. By 10 Feb 2014, 504 cases and 16 deaths had been recorded. The Ministry of Health and Social Services declared the situation to have ?completely stabilized? on 20 Jan. On 11 Feb, the first cases of cholera were reported in the capital Windhoek, in the Katutura area. By 17 Feb, 14 cases and one death had been recorded.","UN Resident Coordinator, OCHA"
