glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
FL-2025-000187-NGA,2025-000187,23645,FL,flood,NGA,Borno state ,11.8846356,13.1519665,0.0,0.0,0,2025,9,13,A,0,0,0,0,,0,"Between 13 and 14 September 2025, Dikwa Local Government Area (LGA) in Borno State, Nigeria experienced severe flooding triggered by heavy rainfall, which significantly impacted three camps: Alhaji Bashir Camp, Kamcheji Camp, and the Reception Centre. According to IOM Nigeria flash report 169 The flooding displaced 5,829 individuals across 1,058 households, including 3,350 children, 1,364 women, and 1,115 men. A total of 895 shelters were affected, with 849 completely destroyed and 46 partially damaged.",
FL-2025-000078-NGA,2025-000078,23527,FL,flood,NGA,Mokwa,9.2928248,5.0546643,0.0,0.0,3,2025,5,29,A,0,0,0,0,,0,"At least 153 people have died following flooding on 29 May in Mokwa, Niger State, in north-central Nigeria, according to State authorities.",
FA-2025-000077-NGA,2025-000077,23526,FA,famine,NGA,,9.081999,8.675277,0.0,0.0,0,2025,6,3,A,0,0,0,0,,0,"Nigeria is currently facing a national emergency due to worsening food insecurity and malnutrition. On April 14, 2025, President Bola Ahmed Tinubu declared a state of emergency on food security, recognizing the rapidly deteriorating situation marked by soaring food prices, widespread hunger, and severe acute malnutrition across several parts of the country. He further announced that food and water availability and affordability would now fall under the responsibilities of the National Security Council, underlining the critical link between food security and national stability, and requested humanitarian partners to scale up their support to the government&#39;s planned intervention",
FL-2024-000159-NGA,2024-000159,23312,FL,flood,NGA,,9.081999,8.675277,0.0,0.0,0,2024,8,20,A,0,0,0,0,,0,"In the early hours of August 20, 2024, the Kiri Dam in Tudun Tsira, Shelleng LGA, Adamawa State, breached its banks, resulting in severe flooding across the communities of Kwakwambe, Lure, Nbalang, Imburu, and Bare in the Numan Local Government Area. The deluge caused extensive damage, overwhelming local capacities and necessitating immediate humanitarian intervention.",OCHA
FL-2023-000193-NGA,2023-000193,23030,FL,flood,NGA,,10.2084066354084,6.56590200000001,0.0,0.0,0,2023,8,28,A,0,0,0,0,,0,"On 28 August, the Ministry of Humanitarian Affairs and Poverty Alleviation warned that about 13 Nigerian states would be at risk of intense flooding. It would happen between August and October, following the opening of the Lagdo Dam in Cameroon. The Nigerian Government identified the states most prone to flooding including Kogi, Benue, Adamawa, Bauchi, Borno, Gombe, Taraba, and Yobe. On 5th October 2023, there was a rise in the water level in the Lagdo Dam due to heavy rainfall, which exaggerates the experience of flooding in the Adamawa state. Out of 21 LGAs in Adamawa State, 14 LGAs have been affected by the floods and windstorms. 33 deaths were recorded, with 504 households comprising 51,043 individuals affected across 214 communities. ",OCHA
EP-2023-000090-NGA,2023-000090,22872,EP,epidemic,NGA,,9.081999,8.675277,0.0,0.0,0,2023,1,1,A,0,0,0,0,,0,"Nigeria is currently experiencing a large outbreak of Lassa fever, with 4702 suspected cases, five probable cases, and 877 confirmed cases between epidemiological weeks 1 and 15 of 2023 (week ending 16 April). Among confirmed cases, there have been 152 deaths (CFR 17%). Lassa fever is endemic in Nigeria and parts of West Africa where the multimammate rat, the main reservoir of the Lassa virus, is common. Responding to the current outbreak is challenging due to the need to respond to multiple emergencies simultaneously.",WHO
EP-2023-000034-NGA,2023-000034,22810,EP,epidemic,NGA,"Kano, Yobe, Katsina, Sokoto, Enugu, Ogun, Osun, Kaduna, Lagos, and Zamfara states.",9.081999,8.675277,0.0,0.0,0,2023,3,11,A,89,0,0,733,,0,"There has been an alarming increase in the diphtheria in Nigeria since early 2023, worsen in march. The suspected cases reported increased from 136 cases in Week 1 of 2023 to 253 cases. 

As of March 2, 2023, Nigeria Centre for Disease Control (NCDC) recorded again further increase of the disease. In total of 733 suspected cases, including 89 deaths (CFR 12.3%) with children between the ages of 5 and 18 are the age group most afflicted. The overall case fatality rate is (12.3). World Health Organization (WHO) latest data received from ProMed, reported that 20 states are currently reported suspected cases in Nigeria, with the majority of cases reported from Kano (74%), Yobe (12%), Katsina (6%), Sokoto (2%), Enugu ( 1%), Ogun ( 1%), Osun (1%), Kaduna (1%), Lagos (1%), and Zamfara (1%) states. Osun  and lagos state has high cases of zero dose children who are at risk of diphtheria. This outbreak has been labelled as one of the most recently severe outbreaks of diphtheria in Nigeria in recent years. 

Diphtheria is a disease that affects most people without the vaccine, and the NCDC reports that out of the suspected cases, only 27 (12.5%) out of 216 confirmed cases were fully vaccinated with a diphtheria toxin-containing vaccine. There have been laboratory-confirmed cases in addition to clinically suspected cases, and the NCDC is collaborating with state health departments and partners to improve surveillance and response to the outbreak. NCDC has been working with stakeholders to increase the awareness of the disease, however the cases continues to increase. 

NCDC was first notified of suspected diphtheria cases in Kano and Lagos states on December 1, 2022. On January 20, 2023, the Nigeria Centre for Disease Control and Prevention (NCDC) officially declared the situation as an outbreak of Diphtheria cases in Lagos and Kano States, which were the first to confirm Diphtheria cases. Diphtheria quickly spread to other states. 

The National technical working group multi-partner, multi-sectoral Emergency Operations Centre (EOC) activated to coordinate the response activities at all level. With the alarming trend, Zamfara state also requested National Society assistance in the emergency action to reduce the huge burden on the health care services in the state.",Nigeria Red Cross
FL-2022-000350-NGA,2022-000350,22721,FL,flood,NGA,Nigeria,5.4512857,6.64091784368143,0.0,0.0,3,2022,10,26,A,0,0,0,0,0,1,GDACS - High in Nigeria ,GDACS
FL-2022-000271-NGA,2022-000271,22634,FL,flood,NGA,"Northern , Northeastern and south states.",9.081999,8.675277,0.0,0.0,0,2022,7,22,A,8,0,500,50000,,0,"Since 20thJune 2022, abundant rains are being recorded over localized areas in southern Nigeria, with total amount of rains exceeding 100mm. Floods have also started to be recorded in some parts of the area at risk, mainly in Northern localities and urban areas  since end of June 2022. Currently, more flash floods are recorded and general alerts are for the moment in yellow alert with a close monitoring of meteorological expert issuing frequent alerts since July. For next few weeks, heavy and enhanced rain is forecast over the majority of West Africa. More than 2000mm of rainfalls are projected in areas of southern Nigeria and 390mm projected in the Northern Part of the country from the week of 20th June and beyond. 	This trend follows the same path of previous years, which led to important flooding affecting almost 20 states in the country with more than 10,000 households randomly affected in various way, with always at least 3,000 households homeless and/or displaced. GDACS and IFRC risk watch as well as NiMET forecast are issuing alerts and forecasts from June with an projected worsening of the situation in August with intensification of floods and strong winds, storm, rivers etc high incidence on displacement, agriculture, households relief, markets etc.","Nigeria Red Cross, IFRC"
EP-2021-000143-NGA,2021-000143,22269,EP,epidemic,NGA,,0.0,0.0,0.0,0.0,0,2021,9,23,A,0,0,0,0,,0,"Nigeria is experiencing one of its worst cholera outbreaks in years. According to Nigeria Centre for Disease Control (NCDC) Cholera Situation Report No. 38

As of 21st 5th September 2021, a total of 73,055 suspected cases including 2,407323 deaths (CFR 3.3%) have been reported from 27 states out of 36 states and in Abuja, the capital federal Capital Territory (FCT). , Abuja. According to the Nigeria Center for Disease Control, NCDC, children between 5 and 14 are the most affected age group and the overall case fatality rate is 3.3%. So far, the affected states are Benue, Delta, Zamfara, Gombe, Bayelsa, Kogi, Sokoto, Bauchi, Ekiti, Osun, Kano, Kaduna, Plateau, Kebbi, Cross River, Nasarawa, Ogun, Niger, Jigawa, Yobe, Kwara, Adamawa, Enugu, Katsina, Borno, Taraba, Abia,  and the FCT.  ",
