glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
FF-2026-000152-SLE,2026-000152,23901,FF,flash flood,SLE,Freetowm,8.4870803,-13.2354918,0.0,0.0,0,2026,8,3,A,0,0,0,0,,0,"On the night of 3 August 2026, Freetown experienced approximately six consecutive hours of exceptionally heavy rainfall, triggering widespread flash flooding [...] the event affected 1,763 families (8,915 people), damaged or flooded more than 700 houses, including over 300 houses in Portor Community alone, caused four fatalities, displaced thousands of people, contaminated 18 community boreholes, damaged a community school, and disrupted livelihoods and access to essential services.  
",IFRC
EP-2026-000079-SLE,2026-000079,23812,EP,epidemic,SLE,,8.460555,-11.779889,0.0,0.0,0,2026,5,13,A,0,0,0,0,,0,"On 13 May 2026, the National Public Health Agency (NPHA), in collaboration with the Ministry of Health (MoH), officially declared a measles outbreak in Sierra Leone following confirmation of sustained transmission across multiple districts. On the same day, 41 confirmed cases were reported across eight districts: Western Area Urban (Freetown), Western Area Rural, Port Loko, Bombali, Tonkolili, Bo, Kenema, and Kono. Between 14 and 19 May 2026, an additional 8 confirmed cases were identified, bringing the total to 49 confirmed cases.",IFRC
FL-2025-000169-SLE,2025-000169,23623,FL,flood,SLE,,8.460555,-11.779889,0.0,0.0,0,2025,8,31,A,0,0,0,0,,0,"Between 31 August and 5 September 2025, Sierra Leone experienced devastating flash floods across 17 communities in seven districts including Bonthe, Kenema, Bo, Moyamba, Kono, Falaba, and Koinadugu. The floods, caused by persistent heavy rainfall and overflowing riverbanks, have affected over 11,080 people from more than 2,216 households. Over 4,000 people have been displaced, seeking shelter in schools or with host families, while thousands of homes, buildings, and critical infrastructure, including schools and health facilities, have been damaged or destroyed. The floods have also submerged more than 2,500 hectares of farmland, threatening livelihoods and food security. Affected communities face urgent needs for safe water, food, hygiene items, shelter, and healthcare, with children, the elderly, people with disabilities, and displaced families among the most vulnerable.",IFRC
FL-2024-000182-SLE,2024-000182,23367,FL,flood,SLE,,8.460555,-11.779889,0.0,0.0,0,2024,9,23,A,0,0,0,0,,0,"The National Disaster Management Agency (NDMA) has reported extensive flooding across Sierra Leone, significantly impacting communities, farmlands, businesses, and infrastructure. By September 23, 2024, the NDMA identified 27 flood events across multiple districts, affecting 3,330 households and 23,596 people.",IFRC
FR-2022-000383-SLE,2022-000383,22773,FR,fire,SLE,Funkia,8.460555,-11.779889,0.0,0.0,0,2022,12,25,A,0,16,875,938,,0,"A large fire incident occurred on December 25, 2022 (Christmas Day) in one of the Sierra Leone Red Cross Society program communities - England Ville Community, Funkia, Goderich in the Western Rural district. According to the community-based volunteers, the incident began around 12:30 pm with a lady who was preparing her Christmas meal in a makeshift house. Immediate household members were unable to put out the fire and the National Fire Force could not get there on time to extinguish the blaze as the fire truck was involved in a fatal accident on its way to the fire scene. 
However, the entire community population came together to put out the fire. Fire could be extinguished but several houses were already completly burnt with most of the Funkia community households displaced. Total of 211 households have lost their home and essential HH items. Displaced persons have no place to stay, and the neighborhood cannot contain the population displaced. The majority of the victims sleep in the open, few have moved to nearby public buildings such as markets and schools, and others stay on the unsafe beaches in and around Goderich Village. 
Small shops and others places use for income generation such as Warehouses and stalls burnt down, fish drying houses constructed and managed mostly by women destroyed, resident women petty traders and hawkers lost their livelihoods to the fire. 

On December 29th 2022,  The National Disaster Management Agency (NDMA) through its Directorate of Relief and Response presented an Assessment Report on the Funkia Market Fire Incident to Sierra Leone Red Cross and other key partners during a Coordination Meeting to solicit support for the affected population. Needs are urge and communities exposed to multiple risks.",Sierra Leone Red Cross and IFRC
FF-2022-000309-SLE,2022-000309,22673,FF,flash flood,SLE,Freetown,8.460555,-11.779889,0.0,0.0,0,2022,9,11,A,6,79,21,12903,,0,"Freetown, the capital city of Sierra Leone has been experiencing persistent torrential rains since mid-August 2022. The highest recorded incident was on Sunday 28 August 2022, with rains causing associated impacts, including flooding in low-lying areas as well as new episodes of landslides on a low scale. Major roads in the city centre were rendered impassable due to the flood waters, heavily constraining vehicles and pedestrians having to find alternative routes. The city continues to experience more heavy rains which may cause flooding in additional communities and increase the number of affected people.
An update from the Office of National Security (ONS) on August 28 reported flash floods and landslides already affected seven communities including Kanikay, Culvert, Kaningo, Tengbeh Town, Looking town, Cassava town, and Brooks field.  In these areas, houses have been flooded leaving residents trapped in the raging waters and their properties destroyed. On the impact of the disaster, the assessment report reveals a total of 12,903 people (1,817 households) were affected, with 8 deaths, 79 injured, and 4 missing as a result of flash floods and landslides. Over 21% of the houses flooded by water and 16.4% by landslides are inhabitable, and families need rental assistance as immediate support. Also, over 18% of the houses were completely destroyed. A total of 17.7% of the population across the 18 communities lost their assets to flood waters and mud, and over 14% of the affected population have their livelihoods destroyed. Below summarises the impact of flooding and landslides in affected communities.",SIERRA LEONE RC AND IFRC
FR-2021-000169-SLE,2021-000169,22295,FR,fire,SLE,Freetown,0.0,0.0,0.0,0.0,0,2021,11,5,A,101,123,0,224,,0,"On 05th November 2021, a fire incident occurred in the Wellington PMD Junction  east of Freetown involving a loaded fuel tanker that colluded with and a truck carrying granite stones while the fuel tanker was about entering into a nearby filling station to discharge its fuel . This led to fuel spillage which population rushed to collect. In the interim, some community members rushed to the scene and took advantage of the leakage to scoop fuel and store it in nearby makeshift structures. In the cause of scooping the fuel,  for unidentified reasons, a fire broke out and the tanker exploded, killing nearly a hundred people.",Sierra Leone Red Cross Society (SLRCS)
FR-2021-000029-SLE,2021-000029,22148,FR,fire,SLE,Freetown,0.0,0.0,0.0,0.0,0,2021,3,24,A,0,409,7,7,,0,"A fire incident with an unknown cause broke out late on Wednesday 24th March 2021 in Susan&#39;s Bay, an overcrowded area in the capital city of Sierra Leone (Freetown), ",Sierra Leone Red Cross Society
EP-2020-000012-SLE,2020-000012,21882,EP,epidemic,SLE,,8.460555,-11.779889,0.0,0.0,0,2020,3,1,A,123,7114,0,37,,120,"Coronavirus disease (COVID-19) is an infectious disease caused by the SARS-CoV-2 virus. It originated in Wuhan, China, at the end of 2019, and spread rapidly over the world.  Coronaviruses are a large family of viruses with some causing less-severe disease, such as the common cold, and others more severe like COVID-19. Coronavirus has impacted also Sierra Leone, where authorities have reported as of December 31, 2021 more than 7114 total cases, with over 123 deaths. ","WHO, Woldometers, MoHealth"
FL-2019-000089-SLE,2019-000089,21564,FL,flood,SLE,Freetown,0.0,0.0,0.0,0.0,0,2019,8,1,A,0,0,0,0,,0,"Floods and landslides have affected the capital city of the country, Freetown, triggered by heavy and continuous downpour experienced on 1st August 2019 from 10:00pm until the next morning on 2nd August 2019. The raging floods resulted in substantial destruction of houses, road networks and destroyed the livelihoods of approximately 896 households (5,381 people).",IFRC
FL-2017-000202-SLE,2017-000202,23788,FL,flood,SLE,Sierra Leone,8.434,-13.224,0.0,0.0,3,2017,8,14,A,0,0,0,0,0,1,GDACS - Medium humanitarian impact in for Sierra Leone. ,GDACS
MS-2017-000109-SLE,2017-000109,20906,MS,mud slide,SLE,,8.460555,-11.779889,0.0,0.0,0,2017,8,14,A,0,0,0,0,,0,"More than 200 people were killed when a mudslide struck the outskirts of Sierra Leone's capital Freetown on 14 August, sweeping away homes.",
FL-2015-000131-SLE,2015-000131,20554,FL,flood,SLE,,7.3562993,-11.7210635,0.0,0.0,0,2015,9,5,A,0,0,0,2630,,48,"Sustained heavy downpour of rain from the 5  to the 6 September 2015 (48 hours) burst river banks and caused destruction in eight communities in Bo and two in one Chiefdom in Pujehun District in southern Sierra Leone. The overall population in the three chiefdoms in Bo District is 8,695 of which 2,630 were directly affected losing properties and being exposed to rain with no appropriate sanitation and some evacuating and taking shelter in nearby schools. The number of people affected by the floods in Bo District is 2,630 in 239 household heads with 463 males 614 females, 645 boys, 607 girls and 301 children under five years. A total of 339 houses are reported destroyed. Pujehun District has 272 persons affected by floods with 41 household heads affected losing 16 houses",IFRC
EP-2014-000039-SLE,2014-000039,20182,EP,epidemic,SLE,,8.460555,-11.779889,0.0,0.0,0,2014,4,5,A,0,0,0,0,,0,On the 21st of March the Government of Guinea confirmed a suspected Viral Haemorrhagic fever outbreak that had been developing since early February as Ebola. Lab tests now confirm 6 suspected cases of Ebola and outbreak response activities are being ramped up significantly. Figures of case loads and effected areas are still being defined but current government figures are as high as 80 cases and 60 deaths with more cases expected.. The epicentre seems to be a small rural town called Gueckedou in southern Guinea. Gueckedou is extremely close to both the Sierra Leone and Liberian boarders and communities in all three countries are at risk.,
