glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
EP-2026-000039-SOM,2026-000039,23760,EP,epidemic,SOM,,9.2928977156506,47.78164725,0.0,0.0,0,2026,2,24,A,0,0,0,0,,0,"On 24 February 2026, the Somaliland Ministry of Health Development officially confirmed and declared the escalating dengue fever outbreak affecting multiple regions of the country. The most severe impact has been recorded in Togdheer Region, Maroodi-jeh Region, and Sahil Region, where transmission dynamics indicate sustained community spread and increasing epidemiological intensity.",
EP-2025-000182-SOM,2025-000182,23640,EP,epidemic,SOM,,10.2672850015228,48.59463553125,0.0,0.0,0,2025,3,2,A,0,0,0,0,,0,"On March 2, 2025, in response to the worsening situation, the Ministry of Health Development (MoHD) has formally issued a request letter to urgently inform the partners of the critical public health concerns regarding the recent outbreak of Leishmaniasis in the Sanaag region, triggering an appeal to humanitarian partners for urgent intervention.",IFRC
DR-2025-000172-SOM,2025-000172,23630,DR,drought,SOM,,-7.704,-54.524,0.0,0.0,0,2025,9,24,A,0,0,0,0,,1104,"Poor rainfall, flooding and persistent conflict are driving 3.4 million people into high levels of acute food insecurity between July and September 2025. This includes around 625,000 people (3 percent of the population) experiencing Emergency (IPC Phase 4) levels of acute food insecurity, and 2.8 million people (15 percent of the population) in IPC Phase 3 (Crisis).

In northern regions, poor rainfall and drought conditions have led to failed crop production and poor livestock production and reproduction. In central and southern Somalia, conflict and
flooding disrupted crop production in some agropastoral and riverine communities, triggering population displacement and undermining both livelihood activities and access to markets.",GDACS
EP-2025-000142-SOM,2025-000142,23595,EP,epidemic,SOM,,4.71432487561674,46.990631625,0.0,0.0,0,2025,8,3,A,0,0,0,0,,0,"As of July 2025, Somalia particularly Puntland regions of Mudug, Nugal and Bari were grappling with a sustained and intensifying diphtheria outbreak. The disease, a highly contagious yet vaccine-preventable illness, continues to spread at alarming rates, placing an
immense strain on Puntland&#39;s already overstretched healthcare system. By this time, 482 conrmed cases and 27 deaths had been reported, with the highest burdens recorded in the Galkacyo district of Mudug province (178 cases and 7 deaths with a case fatality rate
of 3.9%) and the Iskushuban district of Bari province, which reported a devastating CFR of 29.4% with 5 deaths among 17 cases. ",IFRC
FF-2025-000055-SOM,2025-000055,23504,FF,flash flood,SOM,,5.152149,46.199616,0.0,0.0,0,2025,4,15,A,0,0,0,0,,0,"Four people, including three children, have been swept away and nearly 30,000 impacted by flash floods caused by moderate to heavy rains in several areas of Somalia over the last week. [...] The rains, marking a delayed start to the gu (April to June) wet season, have come after prolonged dry conditions across the country, and have been particularly heavy in Puntland and South West States. Initial reports by the authorities in Puntland estimate that 4,500 families (27,000 people) have been affected in Bari and Nugaal regions. Four low-lying settlements were inundated, affecting over 300 displaced families (900 people) and destroying shelters, water sources, and latrines. In areas of Qardho district, approximately 1,500 houses and 11 schools have been damaged, disrupting education for 3,700 children. [...] In Lower Shabelle region, South West State, flash floods due to heavy rains have impacted a considerable number of people in Afgooye, Wanlaweyn, Qoryooley, Marka districts, and surrounding areas. The flooding has restricted road access and damaged sanitation infrastructure. In Wanlaweyn, over 270 displaced families (1,620 people) have reportedly been affected. Stagnant water in displacement sites has increased the risk of diseases. In Baidoa and surrounding villages, flash floods on 15 and 16 April affected displaced people and host communities, and rendered roads impassable. Water levels along the flood-prone Shabelle river have risen.",UN OCHA
FL-2024-000055-SOM,2024-000055,23201,FL,flood,SOM,,5.152149,46.199616,0.0,0.0,0,2024,4,19,A,4,0,804,0,,0,"Heavy rainfall has been affecting Somalia since 19 April, causing floods, flash floods and river overflow that resulted in casualties and damage.
According to UN OCHA, as of 22 April, four people died, of whom three in Somaliland (northern Somalia) and one in Hirshabelle State (south-central Somalia), 804 people have been displaced, 100 shelters have been destroyed and a school have been damaged across Somalia.
Humanitarian partners are stepping up response across the country.
For the next 24 hours, more rainfall is expected over north-western and south-western parts of Somalia.","UN OCHA, ECHO"
DR-2023-000210-SOM,2023-000210,23051,DR,drought,SOM,Somalia,3.06,44.892,0.0,0.0,0,2023,5,21,A,0,0,0,0,0,178,GDACS - Medium impact for agricultural drought in 87260 km2 over Somalia-2023 ,GDACS
FL-2023-000190-SOM,2023-000190,23027,FL,flood,SOM,,3.4212316923266,43.62881521875,0.0,0.0,0,2023,10,4,A,0,0,0,0,,0,"Preliminary reports by the Ministry of Humanitarian Affairs and Disaster Management, South West State and humanitarian partners, estimate that nearly 107,000 people (17,831 families) were affected by heavy rains and flash floods on 4 October, in Baidoa District, Bay Region, South West State of Somalia.",OCHA
FL-2023-000057-SOM,2023-000057,22836,FL,flood,SOM,Somalia,2.3372449,42.2849308,0.0,0.0,3,2023,3,20,A,0,0,0,0,0,26,GDACS - Medium in Somalia ,GDACS
FF-2023-000044-SOM,2023-000044,22820,FF,flash flood,SOM,,5.152149,46.199616,0.0,0.0,0,2023,3,12,A,0,0,0,0,,0,"Several areas of Somalia received moderate rains in the week starting 12 March, with the heaviest rainfall recorded in Gedo and Bay regions, particularly in Baardheere, Wanle Wayne, Luuq and Doolow districts. According to the latest rainfall outlook for the 2023 Gu season. Partners have raised concerns over a likely deterioration of the living conditions, particularly for Internally Displaced Persons (IDPs) living in overcrowded settlements with inadequate shelter. The rains also come at a time when partners are struggling with a surge in disease outbreaks, including acute watery diarrhoea/cholera, and measles cases, which are likely to increase due to the risk of people consuming contaminated water and lack of adequate sanitation and hygiene facilities and services.",OCHA
OT-2023-000019-SOM,2023-000019,22795,OT,other,SOM,"sool, somaliland",5.152149,46.199616,0.0,0.0,0,2023,2,13,A,40,119,126000,126000,,0,"According to UNOCHA, reports from local authorities and humanitarian partners show that the current fighting has displaced more than 126,000 people, with 40 people reportedly killed and over 60 injured. In addition, SRCS estimates that about 51,000 families have fled violence to seek safety elsewhere. The town is the capital of the Sool region, with four officially recognised districts, Caynaba, Las Caanood, Taleh, and Xudun, where about 480,744 households reside. 
A month ago, around 20,000 people were already reported displaced by the resurgence of clashes. 
There is an uncontrolled exodus of people out of the city seeking refuge in the surrounding area with host families or informal camps. People didn&#39;t have time to organise and pack belongings, and reports speak of people forming spontaneous settlements and sleeping under trees. Others take shelter with relatives, clansmen or friends. This often exacerbates already fragile conditions of those already experiencing drought impacts and food insecurity. 

The conflict has exacerbated the current situation caused by an ongoing drought and severe food insecurity. Already existing IDPs and others vulnerable groups following the context are again exposed to displacement, challenges, food insecurity and health risk. For many fleeing this violence, it is the second time they have had to move after arriving in the city in search of food and water. Need and urge and assistance currently limited due to multiple aspects. Assistance to some vulnerable people is hard as they remain stuck in areas with ongoing fights.",Somali Red Cross and IFRC and OCHA
VW-2022-000214-SOM,2022-000214,22576,VW,violent wind,SOM,"Gaalkacyo, Puntland",6.81291658618125,47.4740300625,0.0,0.0,0,2022,5,10,A,0,0,4,4,,0,"This is following sudden heavy rains and windstorms which struck North Gaalkacyo on 10th May, impacting the city of Gaalkacyo and its surrounding areas, which host the camps. The most affected people by this disaster are approximately 4,416 internally displaced people (736 HH) people living in 18 of the 20 recorded camps.",Somali Red Crescent Society - Puntland
FR-2022-000191-SOM,2022-000191,22553,FR,fire,SOM,,5.152149,46.199616,0.0,0.0,0,2022,4,4,A,0,0,0,0,,0,"A huge fire broke out in the biggest market (Waaheen) of Hargeisa on the evening of 01 April 2022. The fire was so powerful that the Somaliland Fire Protection could only control it 164 hours after, at 12 pm on April 02, with the support of the Ethiopia Somali region fire department. According to the Somaliland fire protection, this was the worst fire ever experienced in decades. Somaliland fire protection authority, together with the local municipality, central government, and the SRCS are currently finalizing the damage assessment caused by this disaster.  ",
CE-2021-000162-SOM,2021-000162,22288,CE,complex emergency,SOM,Laas Caanood,0.0,0.0,0.0,0.0,0,2021,10,2,A,0,0,7250,0,,0,"The displacement started on  2 and 3 October, when hundreds of families were arrested and forcefully displaced from Laas Cannood, Sool Region of Somaliland. Most of the people are originally from Southwest (SWS) and Hirshabelle states, Banadir and a few from Ethiopia. According to the Puntland Ministry of Interior (MoI), more than 2,800 people arrived in Galkacyo and Harfo in the Mudug district between 3 and 5 October 2021. According to the latest update from UNOCHA dated from 14th October 2021, more  that 7,250 people have been forcibly displaced from Laas Caanood and surrounding areas, and the number is increasing daily.",Somali Red Crescent Society
DR-2021-000054-SOM,2021-000054,22176,DR,drought,SOM,,0.0,0.0,0.0,0.0,0,2021,5,1,A,0,0,0,1,,0,"On 1st May 2021, the Government of Somalia declared a National Emergency due to the Drought situation and called for support in responding to the humanitarian crisis. ",Somali Red Crescent Society
FL-2021-000051-SOM,2021-000051,22173,FL,flood,SOM,,4.21494314139065,46.09375,0.0,0.0,0,2021,5,5,A,0,0,0,0,,0,"Reports indicate that at least 25 people have been killed due to the heavy rains including nine children who died after their house flooded in Banadir on 7 May, and four people killed by lightening in Puntland on 5 May. In Middle Shabelle region, riverine flooding has affected an estimated 25,000 people in 15 villages in Jowhar,",OCHA
TC-2020-000232-SOM,2020-000232,22092,TC,tropical cyclone,SOM,,4.56547355071028,47.1484375,0.0,0.0,3,2020,11,22,A,8,0,0,0,,0,"Tropical Cyclone Gati made landfall in Somalia on 22 November, primarily impacting 13 villages in Iskushuban district, Bari region, Puntland State. Initial reports indicate that eight people have been killed and 70,000 affected, while property and infrastructure has been damaged. In Xaafuun and Hurdiya villages, 15,000 people have been displaced.",OCHA
