glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
FL-2025-000168-SSD,2025-000168,23622,FL,flood,SSD,South Sudan,9.0,33.0,0.0,0.0,3,2025,7,15,A,0,0,0,0,0,67,"GDACS - Medium humanitarian impact in for South Sudan.The United Nations Office for the Coordination of Humanitarian Affairs (UN OCHA) reports, as of 19 September, more than 135,300 displaced people and a total of nearly 379,200 affected people across 21 counties throughout the four states of Unity, Upper Nile, Jonglei and Central Equatoria, with Unity state as the worst affected in terms of displaced people and Jonglei state as the worst affected in terms of affected people. In addition, the same source also reports an uncertain number of destroyed and damaged houses. ",GDACS
FL-2025-000158-SSD,2025-000158,23612,FL,flood,SSD,,6.8769919,31.3069788,0.0,0.0,0,2025,7,30,A,0,0,0,0,,0,"As of 30 July, flooding continues to impact an estimated 80,000 people in Mayendit and Bor South counties, in Unity and Jonglei states. While no flood-related displacement has been reported to date, communities remain at heightened risk due to prolonged exposure to floodwaters. By the end of July, 84,606 confirmed cholera cases and 1,477 related deaths were reported. ",OCHA
EP-2024-000201-SSD,2024-000201,23390,EP,epidemic,SSD,,6.8769919,31.3069788,0.0,0.0,0,2024,10,23,A,0,0,0,0,,0,"The Ministry of Health has declared a cholera outbreak today in Renk, Upper Nile State. This declaration comes after reports of 44 suspected cholera cases, and six laboratory-confirmed cases on 23 October 2024 in Renk, Upper Nile State. As of 27 October 2024, 49 cholera cases have been reported among refugees, returnees, and local communities. ",WHO
FL-2024-000145-SSD,2024-000145,23298,FL,flood,SSD,,6.8769919,31.3069788,0.0,0.0,0,2024,7,16,A,0,0,0,0,,0,"Between 16th and 31st July 2024, a series of events led to the displacement of 3,180 individuals across Aweil West (2,190 individuals), Jur River (522 individuals), and Panyijar counties (468 individuals). Key informants have indicated that these displacements were primarily caused by flood-related disasters.",IOM
EP-2023-000263-SSD,2023-000263,23142,EP,epidemic,SSD,,6.8769919,31.3069788,0.0,0.0,0,2023,9,26,A,0,0,0,0,,0,"On 26th September 2023, the National Ministry of Health declared a Hepatitis E Virus outbreak in Old Fangak, Jonglei State and Greater Pibor Administrative Area, after 3 out of 13 samples tested positive for HEV. The outbreak has affected 63 people and caused 12 deaths, with a case fatality rate of 19%.",UNICEF
EP-2023-000048-SSD,2023-000048,22826,EP,epidemic,SSD,,6.8769919,31.3069788,0.0,0.0,0,2023,12,10,A,0,0,0,0,,0,"The Ministry of Health of the Republic of South Sudan declared a measles outbreak on the 10th of Dec 2022.  
This is the second declaration of a measles outbreak last year after the first one on 23 February 2022.  
South Sudan started reporting measles cases in January 2022 in two counties -Torit in Eastern Equatoria State and Maban in Upper Nile State and as of week 5 (ending 04 February 2023), 55 counties across all 10 States have reported suspected measles cases. Out of the counties reporting measles cases, outbreaks have been confirmed in 25 counties after surpassing the outbreak threshold.",Gov&#39;t South Sudan/WHO
EP-2023-000039-SSD,2023-000039,22815,EP,epidemic,SSD,MALAKAL,9.42161511486148,32.38363895625,0.0,0.0,0,2023,3,10,A,0,0,0,265,,0,"On the 22nd February, Medicines&#39; San Frontiers Spain (MSF Spain) in Malakal, Upper Nile State received alert of increasing cases of acute watery diarrhea and vomiting in children aged 1 year and below. Two samples were collected and tested positive for cholera on rapid diagnostic testing (RDT). Additional nine samples were collected and transported to the National Public Health Laboratory in Juba on the 2nd  March 2023 for culture and polymerase chain reaction (PCR) testing. Two out of the nine samples tested positive for Vibrio cholerae on PCR testing.

On 25th February 2023, Ministry of Health received notification of suspected case of cholera from Malaka, Upper Nile State. Since then, the Malakal county continue to received more alerts of increasing cases of acute watery diarrhoea and vomiting. 

The Malakal cholera update of 11 March 2023 reported a total of 265 cholera cases including one death have been reported from Malakal, Upper Nile State. Most of the cases are males (147/55%) while 118 accounting for 45% are females. Overall, case patients between 0-4years old are mostly affected. Since February, the curve of children under 4 have represent between 91% to 95% of the reported cases. On 7th March the children from 0 to 4 years were already 170 (95%) of the 179 cases reported. Of these, 109 (61%) are from Malakal Town, while 70 (39%) are from Malakal Protection of Civilians Sites (POC).  The Malakal PoC site was born out of the civil war that started in South Sudan on 15 December 2013. At the time, civilians were fleeing from indiscriminate and deliberate attacks and their only place of refuge was the UNMISS Base in Malakal. To date, it remains a crucial safe haven for 34,056 IDPs/civilians (source: DRC April 2021 population head count) who still perceive the security environment outside the PoC site as unsafe, with the PoC site continuing to serve as a critical coping mechanism for populations facing risk in Malakal and beyond.

With the positive PCR test result, the Ministry of Health hereby declared a confirmed outbreak of cholera in Malakal, Upper Nile State, South Sudan on 7th March 2023, and issued situation report number one.",South Sudan Red Crescent society and IFRC
EP-2022-000236-SSD,2022-000236,22599,EP,epidemic,SSD,,6.8769919,31.3069788,0.0,0.0,0,2022,5,7,A,0,0,0,0,,0,"A Cholera outbreak has been declared in Rubkona county, Unity State. The declaration follows the confirmation of cholera in eight cases following tests by the National Public Health Laboratory in Juba. To date, a total of 31 cases including one death have been reported from Rubkona town and Bentiu IDP camp. ",Govt. South Sudan
FL-2021-000108-SSD,2021-000108,22231,FL,flood,SSD,,8.05922962720019,30.9765625,0.0,0.0,0,2021,7,15,A,0,0,0,0,,0,"As early season flooding unfolds in parts of South Sudan, the humanitarian community is working with the Government of South Sudan to support people affected by the rising waters. An estimated 90,000 people have been affected thus far, after heavy rains inundated homes and agricultural fields, and forcing families and their livestock to higher ground.",OCHA
DR-2021-000065-SSD,2021-000065,22187,DR,drought,SSD,"Northern Bahr el Gazzal, Warrap and Jonglei States ",0.0,0.0,0.0,0.0,0,2021,4,30,A,0,0,0,7,,0,"The food security situation in South Sudan has reached crisis levels and there is need for scaled up actions. According to its Integrated Food Security Phase Classification (IPC) projections, an estimated 5.8 million people (48 per cent of the population) faced Crisis levels of food insecurity (IPC Phase 3) or worse - a figure that is expected to increase to 7.2 million (60 per cent of the population) during the ongoing lean season of April-July 2021.",South Sudan Red Cross
