glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
FL-2024-000186-TGO,2024-000186,23371,FL,flood,TGO,,8.619543,0.824782,0.0,0.0,0,2024,8,1,A,0,0,0,0,,0,"According to rainfall data from the Regional Climate Center for West Africa and the Sahel, rainfall in the Sahelian strip over the past 30 days was 120 to 600 percent above average compared to the 1991-2020 reference period. These torrential rains have caused severe flooding, severely impacting livelihoods and access to basic social services for more than 700,000 people in several West and Central African countries, including the Central African Republic, Chad, Niger, Nigeria, Mali, and Togo.",FEWS NET
EP-2024-000136-TGO,2024-000136,23289,EP,epidemic,TGO,,8.619543,0.824782,0.0,0.0,0,2024,6,27,A,0,0,0,0,,0,"On 27 June 2024, the Ministry of Health of Togo declared a dengue outbreak. From week 1 to week 19, 2024, sporadic dengue cases were reported in Togo. Starting from week 20, a gradual increase was observed, peaking at 273 cases in week 26. From week 1 to week 27, 2024, 823 cases were reported, including 395 confirmed and 428 suspected cases. Of these, 806 cases (97.9%) were reported from week 20 onwards, with only 2.1% occurring between week 1 and week 19.",WHO
CE-2023-000033-TGO,2023-000033,22809,CE,complex emergency,TGO,Savannah region,8.619543,0.824782,0.0,0.0,0,2023,3,7,A,102,15,8564,22715,,0,"The Savannah region bordering Burkina Faso has been plagued by incursions from non-state armed groups on the Burkinabe side of the border with several attacks since 2021. 
These attacks have multiplied since February, leading the Government on 17 February 2023 to request support from the CRT and its other partners for assistance to displaced populations. On that date, the death toll from the crisis was
- 102 dead and 15 injured.
- 2,037 displaced households, approximately 12,222 people including IDPs and Burkinabe populations.
* 1403 Burkinabe households in refuge in Togo.
* 634 internally displaced households.

New attacks continue to be recorded according to reports from branches on the ground. But access to information and data sharing remains an important challenge to define actions in real time. In addition, a certain degree of discretion at local level did not facilitate the clear identification of the number of displaced persons by the NS. In light of this, the CRT conducted a situation update mission, reporting 22,000 people affected by the crisis, including 8,857 IDPs including refugees and 13,861 host populations. 

The situation of the branches also shows that the villages attacked are mainly in the North East of the Savannah region and on the Burkinabe border, while the populations have found refuge in the more secure villages in the South of the Savannah region. The main places of refuge include: the Prefecture of Kpendjal in majority (Kpenjal- West in majority), the Prefecture of T&ocirc;ne, the Prefecture of Manjouar&eacute; (in the town of Majouar&eacute;), the Prefecture of Oti (mainly in Oti-Sud), and Cinkass&eacute; in the Savannes region.

The displaced are received daily by tens to hundreds in the above-mentioned localities. The current number of displaced persons is said to exceed the above figures by tens of thousands. The displaced persons are said to be fleeing from the attacks, but they are also fleeing following warnings within the communities of possible attacks, whether or not they are actually planned. The populations found refuge in host families in villages located more than 20 km from their original residences. 

Most of the population moved on foot or on carts with their few pieces of luggage, leaving behind their granaries, poultry and small ruminants. It should be remembered that the majority of these displaced persons arrived in host families without the minimum of facilities for their integration.  This forced the host families to share their food reserves with their hosts. Today, it is difficult to eat the 3 daily meals. The consumption of pets has started to increase.
Among the displaced there is a high percentage of children under 11 years old (about 30%) who are psychologically affected by the atrocities and the change of life. 
 
Access to the villages of origin to consider a return is no longer possible or at least remains a challenge as the security situation remains volatile with explosive devices buried on the roads. This is the case, where on 2 February, 10 people on board a tricycle fell victim to an Improvised Explosive Device (IED) at a place called Inamoufali. No survivors were noted as the convoy headed to the cemeteries to bury the four peasants murdered the day before.  In addition, there were reports of infiltration into the existing groups of people in the host villages.",Togo Red Cross
FL-2022-000351-TGO,2022-000351,22722,FL,flood,TGO,Maritime and Savanes Regions,8.619543,0.824782,0.0,0.0,0,2022,10,28,A,0,0,3990,18596,,0,"Since October, heavy rains have fallen in the northern part of Togo (savannah region), creating an overflow of water in communities and pockets of rain flooding in some areas.
savannah region), creating an overflow of water within communities and pockets of rain flooding in some
villages. Of the 7 prefectures in the Savannah region, 3 are seriously affected by flooding.
by flooding. These are the prefectures of Oti, Oti-Sud and Kpendjal.
The rainfall recorded in the northern zone and the rest of the country flowed into the Mono River
by the various tributaries. The Mono River which houses the Nangbeto dam in the Maritime Region.
As of October 17, 2022, the continuous heavy rainfall in the maritime region has created an exponential rise in the level of the
exponential rise in the level of rivers in general and a meteoric rise in the water level of the dam. By mid-October, the
mid-October, the Nangbeto dam authorities reported that the water retention capacity had already been exceeded
while forecasts were still showing heavy rainfall for the coming days. On October 17, the
Mono River, which collects all the water from the northern region, overflowed its banks. The authorities of the
authorities had to release water to prevent the dam from bursting and causing further damage.
damage. This accentuated the rise in water levels in the various rivers, especially in the prefectures of
of Yoto, Bas Mono and Lacs.
These widespread floods in the communities have led to the destruction of crops in the fields, due to the loss of several hectares of land.
The widespread flooding in the communities led to the destruction of several hectares of rice, corn, soybean and bean crops. The floods have also
The floods have also caused the occupation of agricultural roads and material damage. Among the most important are the destruction of
Page 2 of 19
Among the most important damages were the destruction of huts, the flooding of schools, and the considerable loss of livestock.
On October 25, the National Disaster Prevention Agency (ANPC) shared information collected in the Savanes and Maritime regions
On October 25, the National Disaster Prevention Agency (ANPC) shared information collected in the Savanes and Maritime regions that more than 18,037 people had been affected by the disaster in both regions. Property damage
and many vulnerable people are counted in the censuses made so far by the ANPC and the Togolese
Togolese Red Cross.
Preliminary data by region show a more significant impact in the Maritime region, which accounts for
90% of the people affected because they are the ones who suffered the full force of the release of water from the dam.",Togolese RED CROSS
EP-2020-000012-TGO,2020-000012,21864,EP,epidemic,TGO,,8.619543,0.824782,0.0,0.0,0,2020,3,1,A,248,30163,0,27,,120,"Coronavirus disease (COVID-19) is an infectious disease caused by the SARS-CoV-2 virus. It originated in Wuhan, China, at the end of 2019, and spread rapidly over the world.  Coronaviruses are a large family of viruses with some causing less-severe disease, such as the common cold, and others more severe like COVID-19. Coronavirus has impacted also Togo, where authorities have reported as of December 31, 2021 more than 30163 total cases, with over 248 deaths. ","WHO, Woldometers, MoHealth"
OT-2017-000163-TGO,2017-000163,20979,OT,other,TGO,"sokode, togo",8.9779832,1.14489809999998,0.0,0.0,0,2017,10,16,A,0,0,0,0,,0,"Since 19 August 2017, fresh protests have been taking place. While further protests were planned, and tensions was rising, the arrest of an influential Imam preacher by the security forces in the city of Sokod&eacute; on 16 October provoked anger from the local population, especially young people. This event marked the beginning of a resurgence of violence that quickly began to be heard in all the important districts of Sokod&eacute; and the surrounding villages.

Apart from the damaged public and private buildings, security forces actions caused severe trauma among the population. It is estimated that 2 million people have been affected by the civil unrest. More than 1500 persons fled into the bush and the nearest villages. Seven people are reported to have died as a result of the violence. Several villages saw their population double, triple or quadruple within 24 hours. ",
FL-2017-000149-TGO,2017-000149,20965,FL,flood,TGO,"Lacs, Mono River Banks",6.27980843274044,1.71722412109375,0.0,0.0,0,2017,9,28,A,0,0,0,12,,3,"Since July, 2017, Togo has been affected by heavy torrential rains. The reservoir of the Nangb&eacute;to Dam has exceeded its capacity since 6th of August, resulting in flooding in several villages located at the downstream of the river. As of 6th of October, around 30 villages are at a risk of flooding. Over 12,000 people are likely to be affected. ",IFRCOv
EP-2016-000015-TGO,2016-000015,20644,EP,epidemic,TGO,,9.54658334975759,1.1700439453125,0.0,0.0,0,2016,2,15,A,21,0,0,282,,0,"As of 15 February 2016, the district of Dankpen reported a total of 219 cases and 12 deaths (Case fatality rate (CFR): 5.5%) and the district of Bassar reported a total 63 cases including nine deaths (CFR: 14.3%). Following investigations (in the district of Dankpen), it was identified that the causal agent was Neisseria meningitides W135. It should be noted that that are concerns that the epidemic is expanding to other areas, not only in the districts of Kara region but also to neighbouring areas - since 5 February 2016, two cases have been reported in the Central region.  It is possible, if action is not undertaken that the situation becomes a wider regional issue extending beyond Ghana and Togo to other countries in West Africa. ",IFRC
EP-2014-000039-TGO,2014-000039,20272,EP,epidemic,TGO,,6.12963137664724,1.142578125,0.0,0.0,0,2014,8,28,A,0,0,0,0,,0,Ebola preparedness,IFRC
EP-2013-000138-TGO,2013-000138,20100,EP,epidemic,TGO,,8.619543,0.824782000000027,0.0,0.0,0,2013,11,4,A,0,0,0,0,,0,"Since 30 August 2013, cases of cholera have been recorded in Lom&eacute; municipality This has since extended to six of the seven districts in the Maritime region as well as the Central region. As of 28 October, the situation worsened significantly, with the total number of cases escalating to 96 cases with 4 deaths. The continued rainfall in the regions and poor hygiene conditions have escalated concerns of a serious outbreak by the country?s health authorities. ",IFRC
