glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
FL-2026-000063-TZA,2026-000063,23795,FL,flood,TZA,,-8.89506515244021,36.207181375,0.0,0.0,0,2026,3,26,A,0,0,0,0,,0,"In late March 2026, prolonged and intense rainfall associated with the March-May rainy season caused severe flooding and landslides in the Mbeya Region, located in Tanzania&#39;s Southern Highlands. The most affected area was Rungwe District, where continuous heavy rains saturated the soil, triggering multiple landslides and flash floods.",
FL-2025-000047-TZA,2025-000047,23496,FL,flood,TZA,,-6.369028,34.888822,0.0,0.0,0,2025,3,21,A,0,0,0,0,,0,"On March 21 to 24, 2025, continuous heavy rainfall accompanied by strong winds began impacting Ulanga District in Morogoro region, particularly in Iragua ward, leading to the collapse of 433 houses. The heavy rains displaced 2,165 people who are now in urgent need of shelter and aid. [...]The storm caused extensive damage to household items, crops, and personal belongings, with food stocks being destroyed due to roof collapses. ",IFRC
EP-2025-000015-TZA,2025-000015,23459,EP,epidemic,TZA,,-6.369028,34.888822,0.0,0.0,0,2025,1,9,A,0,0,0,0,,0,"On January 13, WHO informed member states that Tanzania had a suspected outbreak of Marburg Virus Disease (MVD). On Monday 20 January, the President of the Republic of Tanzania confirmed during a press briefing that there was an outbreak of Marburg Virus Disease in the northwestern Kagera region, after one case was tested positive for the virus following investigations and laboratory analysis of suspected cases. [...]

According to the daily sit rep #4 issued by the Ministry of Health (MoH), there are two confirmed cases, 42 suspected cases, one bedridden patient that is being treated, one confirmed death, 8 probable deaths. The regional health authorities have conducted a total of 42 tests (2 confirmed) of those with MVD type symptoms and the results are awaited. Additionally, based on the contact tracing exercise carried out by the regional health teams, the Ministry has identified a total of 281 persons who have been in contact with the persons with MVD type symptoms.

According to reports from the region, the suspected Marburg cases are found in one of the districts of Kagera region, called Biharamulo. Kagera region is an important transit hub west of Lake Victoria, which borders Rwanda, Uganda and Burundi. Cross-border movement is significant.

",IFRC
FL-2024-000058-TZA,2024-000058,23204,FL,flood,TZA,Dodoma,-6.8160837,39.2803583,0.0,0.0,3,2024,4,1,A,0,0,0,0,,32,"Heavy rainfall continues to affect most of Tanzania (in particular Dodoma and Dar es Salaam city areas) since early April, causing floods, flash floods and triggering landslides that have resulted in casualties and widespread damage.",GDACS
FL-2023-000241-TZA,2023-000241,23102,FL,flood,TZA,,-6.36902799999998,37.8331579375,0.0,0.0,0,2023,11,11,A,0,0,0,0,,0,"The short rains of October to December 2023 commenced mid-October and have been characterized with localized flooding events across regions and have been managed at branch level. From 11 November 2023, the flooding increased causing deaths and damage to major infrastructure in Dar Es Salaam, Kigoma, Kagera, Geita and Unguja.",IFRC
EP-2023-000224-TZA,2023-000224,23085,EP,epidemic,TZA,,-6.369028,34.888822,0.0,0.0,0,2023,7,1,A,0,0,0,0,,0,"The Ministry of Health in the United Republic of Tanzania notified the World Health Organization about a cholera outbreak in three regions, namely Arusha, Kigoma, and Mara, in July 2023. On 11 September 2023, Mara region recorded 13 suspected cases, which were subsequently laboratory-confirmed at the Tanzania National Public Health Laboratory (NPHL), followed by five confirmed cholera cases which were reported in Kigoma region on 13 September 2023.
During epidemiological week 40 (ending 8 October 2023), 16 new cases were reported, including 14 in Arusha, and two in Mara region with no reported deaths. As of 8 October 2023, a total of 268 cholera cases with nine deaths.",WHO
FL-2023-000056-TZA,2023-000056,22835,FL,flood,TZA,Lindi province,-6.369028,34.888822,0.0,0.0,0,2023,4,12,A,0,0,0,1976,,0,"On the night 1st April, 2023, the villages around the Ruvuma river experienced severe floods as a result of heavy downpour from the ongoing monsoon rains. So far, this flood has affected the village of Kivava, especially in the suburbs of Sokoni and Kivukuni, village Angazo, Kilamboma and making 1,400 people displaced, representing 395 households affected in the suburbs of the market and the port. These 1,400 displaced people have been moved to temporary shelters in primary schools that are elevated due to their houses being surrounded by water. In addition, about 60 houses have collapsed with more than 100 toilets having collapsed and fields have been destroyed by water. The road from the village of Angazo to the village of Kilambo has been damaged, thus causing lack of transportation and communication between those areas. 

Kivava village is one of the 110 villages in the district council. This village has 4 neighborhoods which are sokoni, kivukoni, dinanji and lilumbi, the number of residents in this village is 1,976 where there are 518 households. The main economic activity in the village is agriculture and food business. The cultivated crops are rice, sorghum, cassava, cashews, coconuts and legumes. Most of the agricultural areas washed away by floods.

TRCS branch (Mtwara Red Cross regional team) aside of local authorities visited the affected villages on 5th March and issued initial assessment data to start guiding the first emergency assistance to the affected communities through local actions. TRCS branch, further to this assessment provided first distributions and helped the local authorities in the initial food distribution.",Tanzania Red Cross society
EP-2023-000047-TZA,2023-000047,22825,EP,epidemic,TZA,Kagera,-6.369028,34.888822,0.0,0.0,0,2023,3,26,A,5,0,0,8,,0,"On 16 March 2023, the ministry of health (MOH) of the republic of Tanzania announced that seven cases and five deaths of an unknown disease had been reported in Kagera region (that borders Rwanda, Uganda and Burundi) in
Bukoba rural, Maruku and Kanyengereko ward in Bulinda and Butayaibega villages.
The cases were confirmed for Marburg Virus Disease (MVD) on 21 March 2023. The index case was reported to have a travel history from Goziba in lake Victoria and developed symptoms upon returning to his village in Bukoba while the timeline for exposure and onset of symptoms remains unknown. Four other cases were from the same family as the index case. Two heath care workers were also infected and one of them succumb to the disease. This is the first officially declared Marburg Outbreak in Tanzania, although serological studies have found the presence of Marburg
in bat populations in the region.
As of 22 March 2023, a total of eight cases including five deaths (CFR 63.6%) have been reported, while other three cases are currently undergoing treatment in health facilities in Kagera region. The cases had symptoms of fever, bleeding from various body parts and kidney failure. The specimens from the deceased and living patients were collected and confirmed MVD by RT-PCR at the National Health Laboratory.
The MoH reports that the outbreak is confined to Bukoba council in Kagera region and contact tracing activities have been initiated with a total of 195 contacts identified with 185 of them being monitored.",
EP-2022-000211-TZA,2022-000211,22573,EP,epidemic,TZA,,-6.369028,34.888822,0.0,0.0,0,2022,4,23,A,0,0,0,0,,0,"
On 23rd April 2022, the government reported cholera cases in Uvinza DC (Kigoma region) and Tanganyika DC (Katavi region). These cases were reported in Kalya ward in Uvinza DC which has a population of 22,486 (Kigoma region) and Karema and Ikola wards with a population of 15,982) Tanganyika district, Katavi region).   
",Tanzania Red Cross Society
DR-2022-000112-TZA,2022-000112,22472,DR,drought,TZA,,0.0,0.0,0.0,0.0,0,2022,1,22,A,0,0,0,0,,0,"The ongoing drought has caused the severe lack of water and pastures for livestock in Semi-Arid regions especially Manyara (Simanjiro, Kiteto and Mbulu Distict councils), Arusha (Longido, Ngorongoro and Monduli councils), Kilimanjaro (Same and Mwanga Dc), Tanga (Handeni and Mkinga DC). The death of livestock and deteriorating livestock health will result in food insecurity and affect livelihood. ","Tanzania Red Cross, IFRC"
TC-2021-000036-TZA,2021-000036,22156,TC,tropical cyclone,TZA,"Dar Es Salaam, Pwani, Lindi, Mtwara",0.0,0.0,0.0,0.0,0,2021,4,21,A,0,0,0,0,,0,"Tropical Cyclone Jobo is approaching Dar Es Salaam, the largest city in Tanzania. Jobo may be the first landfall in Tanzania since 1952.

Tropical Storm Jobo which is expected to make landfall in the Indian Ocean coastal area of Tanzania on the 26th of April 2021

The tropical storm is expected to cause high swells, rough sea conditions, heavy rain fall, strong winds and flooding. Increase of rain is expected in Dar es Salaam, Tanga, Pemba, Lindi, Pwani, Morogoro, Mtwara regions and to the south coast of Tanzania and around Lake Victoria (UNOCHA update). Strong winds are expected along the coast and most at risk areas are in the central and south coast of Tanzania, Mtwara region (total population: 1,270,854 people), Dar es Salaam region (total population: 6,400,000), Pwani region (total population: 1,265,500) and Lindi region (total population:864,652 people). ","CNN
Global Disaster alert and coordination system  (GDACS)"
FL-2020-000125-TZA,2020-000125,21983,FL,flood,TZA,"Kilimanjaro, Kagera, Katavi, Mara, ManyaraKigoma and Rukwa Regions",-6.48998333267065,35.01953125,0.0,0.0,0,2020,4,22,A,4,26,10,19,,4,"Tanzania Meteorological Agency (TMA) weather forecast indicated above normal rainfall for the period from March and May 2020 with risks of flooding in some regions. In total five regions are now experiencing flooding as a result of increased rainfall displacing thousands of people. Lindi and Pwani regions in the south east of the country were the first to experience flooding early this year. TRCS requested a DREF allocation to offer relief to 2,501 displaced families in Lindi region. Between 22nd and 26th April 2020, the country has recorded increased rainfall in the northern part where seven regions (Kilimanjaro, Kagera, Katavi, Mara , Manyara, Kigomaand Rukwa) are reporting flooding and landslides since April 24.  ",Tanzania Red Cross Society and IFRC
FL-2020-000029-TZA,2020-000029,21697,FL,flood,TZA,,0.0,0.0,0.0,0.0,0,2020,1,27,A,0,0,0,0,,0,"On 27 January, heavy rainfall occurred in Kilwa, Liwale and Ruangwa districts in Lindi region in south-eastern Tanzania. This resulted in flash floods that have led to fatalities and major damage. The latest update from the local government, shared on 28 January, reported more than 18,000 people affected, 13 deaths, 5 people missing, 1,746 houses completely destroyed, and 1,074 latrines collapsed.",IFRC
EP-2020-000012-TZA,2020-000012,21844,EP,epidemic,TZA,,-6.369028,34.888822,0.0,0.0,0,2020,3,1,A,737,29306,0,152,,120,"Coronavirus disease (COVID-19) is an infectious disease caused by the SARS-CoV-2 virus. It originated in Wuhan, China, at the end of 2019, and spread rapidly over the world.  Coronaviruses are a large family of viruses with some causing less-severe disease, such as the common cold, and others more severe like COVID-19. Coronavirus has impacted also Tanzania, where authorities have reported as of December 31, 2021 more than 29306 total cases, with over 737 deaths. ","WHO, Woldometers, MoHealth"
FL-2019-000145-TZA,2019-000145,21629,FL,flood,TZA,,0.0,0.0,0.0,0.0,0,2019,10,26,A,0,0,0,0,,0,"From 26th to 28th October, Mara region of Tanzania was highlighted as one of the most affected regions hit by heavy rains which affected the Central and Northern parts of the country","IFRC, Tanzanian Red Cross"
FL-2019-000048-TZA,2019-000048,21522,FL,flood,TZA,Dar es Salaam,-6.7737162387535,39.23828125,0.0,0.0,0,2019,5,24,A,2,0,0,7,,0,"Heavy rains have been pourint Dar es Salaam, from 8 of May until today. According to the Tanzania Meteorological Agency (TMA), these rains are a result of the Inter-Tropical Convergence Belt and led to continous rainfall and resulting flooding which peaked on 13 May 2019.  According to IGAD Climate Prediction Application Centre (ICPAC), much of southern and eastern Tanzania recorded wetter than normal rainfall condition. Meanwhile, a few places in southern and eastern Tanzania recorded severely to extremely wet rainfall conditions between 1st and 10th May 2019. On 23rd May 2019, the TMA issued a weather information update stating that rains will continue with significant impact; floods, fishing activities to be interfered, transport network impaired, socio-economic/livelihood will be damaged and increased risk of waterborne and vector borne disease outbreak.

The floods caused a significant impact to the people in Dar es Salaam leading to damage of properties and livelihoods and putting the affected population at risk of diseases. The initial rapid assessment conducted by the Tanzanian Red Cross Society indicated that the heavy rains have caused serious flooding in Kinondoni, Temeke and Ilala municipalities of Dar es Salaam. ",IFRC
