"adm0_name","who_region","iso_3_code","first_epiwk","last_epiwk","case_total","death_total"
"AFGHANISTAN","Eastern Mediterranean Region","AFG",2025-12-29,2026-07-20,80968,45
"ANGOLA","African Region","AGO",2025-12-29,2026-07-13,5422,118
"BURUNDI","African Region","BDI",2025-12-29,2026-07-06,1588,4
"CAMEROON","African Region","CMR",2026-06-01,2026-07-20,588,19
"CENTRAL AFRICAN REPUBLIC","African Region","CAF",2026-04-27,2026-07-20,697,45
"CHAD","African Region","TCD",2026-06-08,2026-07-20,208,7
"CONGO","African Region","COG",2026-02-02,2026-06-29,849,49
"DEMOCRATIC REPUBLIC OF THE CONGO","African Region","COD",2025-12-29,2026-07-06,34156,971
"ETHIOPIA","African Region","ETH",2025-12-29,2026-03-02,50,2
"HAITI","Region of the Americas","HTI",2025-12-29,2026-06-08,642,2
"INDIA","South-East Asia Region","IND",2026-02-09,2026-03-09,36,0
"KENYA","African Region","KEN",2026-05-11,2026-06-15,40,0
"MALAWI","African Region","MWI",2025-12-29,2026-06-29,3213,30
"MOZAMBIQUE","African Region","MOZ",2025-12-29,2026-07-20,7979,70
"MYANMAR","South-East Asia Region","MMR",2025-12-29,2026-06-22,272,0
"NAMIBIA","African Region","NAM",2025-12-29,2026-03-23,213,0
"NIGERIA","African Region","NGA",2025-12-29,2026-07-20,50290,338
"PAKISTAN","Eastern Mediterranean Region","PAK",2025-12-29,2026-07-06,4353,0
"RWANDA","African Region","RWA",2026-01-12,2026-04-27,58,0
"SOMALIA","Eastern Mediterranean Region","SOM",2025-12-29,2026-01-12,233,0
"SOUTH AFRICA","African Region","ZAF",2026-07-06,2026-07-13,2,0
"SOUTH SUDAN","African Region","SSD",2026-01-01,2026-07-20,12411,119
"SUDAN","Eastern Mediterranean Region","SDN",2026-01-04,2026-07-13,1341,141
"UNITED REPUBLIC OF TANZANIA","African Region","TZA",2025-12-29,2026-01-12,113,2
"YEMEN","Eastern Mediterranean Region","YEM",2025-12-29,2026-06-29,5443,7
"ZAMBIA","African Region","ZMB",2026-01-12,2026-05-11,999,17
"ZIMBABWE","African Region","ZWE",2026-01-19,2026-03-09,36,2
