glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
VW-2026-000054-LBR,2026-000054,23776,VW,violent wind,LBR,,6.428055,-9.429499,0.0,0.0,0,2026,3,19,A,0,0,0,0,,0,"Between 19 and 24 March 2026, violent windstorms struck multiple communities in Nimba and Lofa Counties, Liberia, causing widespread damage to fragile housing and displacing numerous families. The storms affected 11 communities, six in Nimba County and five in Lofa County, leaving households exposed to harsh weather and without essential belongings. A total of 3,704 people (approximately 529 households) were directly affected.",IFRC
FR-2026-000052-LBR,2026-000052,23773,FR,fire,LBR,,6.428055,-9.429499,0.0,0.0,0,2026,3,24,A,0,0,0,0,,0,"Between 24 and 28 March 2026, Liberia experienced a series of widespread fire outbreaks across five counties: Grand Cape Mount, River Cess, Margibi, Nimba, and Montserrado resulting in severe humanitarian challenges for affected families and communities. In total, 234 households, representing 1643 people, were impacted.",IFRC
FL-2024-000116-LBR,2024-000116,23267,FL,flood,LBR,,6.428055,-9.429499,0.0,0.0,0,2024,6,12,A,0,0,0,0,,0,"According to Liberia&#39;s National Disaster Management Agency (NDMA), recent unprecedented floods in Liberia have killed two people and displaced nearly 50,000. The torrential rains on 28 June displaced 8,000 people, and severely damaged homes, schools, and hospitals in Montserrado, Margibi, and Grand Bassa counties, according to a NDMA official. The NDMA has called for international support, with a USD 10 million requirement for emergency relief. With the rainy season far from over, an estimated 100,000 people remain at risk of flooding, storms, and coastal erosion, with heightened health risks anticipated.",NDMA/UNOCHA
FL-2023-000167-LBR,2023-000167,22967,FL,flood,LBR,,6.428055,-9.429499,0.0,0.0,0,2023,9,11,A,0,0,1700,15200,,0,"From 1st to 4th September, Liberia has experienced successive heavy rainfall in several cities with highest flooding reported in North-Eastern counties of Liberia: Grand Cape Mount, Bong and Montserrado. 
•	Counties affected : Grand Cape Mount, Bong and Montserrado. 
•	Area mainly affected being 
Kru Town 1,955 people, 520 displaced ; 
Gbarnga City (975 people) 
Monrovia (12,450 persons). 
•	Displaced families are around 250 who lost their houses - completely swept away by water or landslides.",Liberia RC and IFRC
EP-2022-000208-LBR,2022-000208,22570,EP,epidemic,LBR,,6.428055,-9.429499,0.0,0.0,0,2022,4,21,A,0,0,0,456,,0,"On Thursday 21 April 2022, Liberia&#39;s Health Ministry declared measles outbreak which is affecting 14 of the 15 counties in the country. According to the Liberian Government the outbreak is a result of low immunization rates, due to disruption of immunization activities for COVID19 and people&#39;s misconception on immunizations. ",Liberian Red Cross Society
EP-2020-000012-LBR,2020-000012,21862,EP,epidemic,LBR,,6.428055,-9.429499,0.0,0.0,0,2020,3,1,A,287,6278,0,76,,120,"Coronavirus disease (COVID-19) is an infectious disease caused by the SARS-CoV-2 virus. It originated in Wuhan, China, at the end of 2019, and spread rapidly over the world.  Coronaviruses are a large family of viruses with some causing less-severe disease, such as the common cold, and others more severe like COVID-19. Coronavirus has impacted also Liberia, where authorities have reported as of December 31, 2021 more than 6278 total cases, with over 287 deaths. ","WHO, Woldometers, MoHealth"
FL-2017-000146-LBR,2017-000146,20962,FL,flood,LBR,Monrovia,6.2907432,-10.7605239,0.0,0.0,0,2017,9,14,A,0,0,0,0,,0,"Three (3) days of incessant  torrential rains from the 14-16 September has left   42 communities inundated with water  in Lower Margibi and Montserrado Counties of Liberia. Liberia is  amongst the world most wettest Country and has a record number of floods in the last ten years.  Once again, the Du River joining the Atlantic Ocean in Lower Margibi overflowed its banks thereby leaving vulnerable people in their communities at risk. The main road to  International Airport was rendered impassable due to the flood waters, heavily constraining vehicle traffic and  those travelling by air as road traffic have to find alternative routes. 
",
OT-2017-000127-LBR,2017-000127,20925,OT,other,LBR,,6.31529853833003,-10.7666015625,0.0,0.0,0,2017,9,1,A,0,0,0,0,,3,"Liberia will have parliamentary and presidential elections on 10th of October 2017. Since 2005, every election has been accompanied by at least some levels of violence. Considering the existing tense political environment, violent street protesting can be anticipated to take place also in this election. Up to 100,000 people are at risk of being affected by street violence. ",IFRC
FL-2016-000071-LBR,2016-000071,20712,FL,flood,LBR,,6.428055,-9.42949899999996,0.0,0.0,0,2016,6,29,A,0,0,0,0,,0,"From 29 June 2016, Upper and Lower Margibi County in Liberia experienced widespread flooding, which affected more than 15,000 people (15,431) in
49 communities. ",IFRC
EP-2014-000039-LBR,2014-000039,20184,EP,epidemic,LBR,,6.31529853833003,-8.92578125,0.0,0.0,0,2014,4,8,A,0,0,0,0,,0,"Guinea recorded early this year 134 suspected cases of febrile illness and 83  deaths (including 34 community deaths) in some districts of the Forest Guinea, with a fatality rate of 69 per cent. These highest concentration of cases and deaths are as follows: Gu&eacute;k&eacute;dou (80 cases/ 54 deaths); Macenta (26 cases/ 14 deaths) and Conakry (15 cases/ 4 deaths).

Faced with this situation, the health authorities of the Administrative Region N'Z&eacute;r&eacute;kor&eacute;, together with the Institute of Public Health, Infectious Diseases University Hospital, WHO and MSF worked together to confirm the nature of this unusual pathology. A total of 36 samples were taken, of which 12 were sent to the Laboratory of Lyon (France) for confirmation on 17 March 2014. The results of these samples reached Conakry on 21 March, and revealed six positive samples, including three positive for filo virus EVD. Of the three cases positive for Ebola virus disease (EVD), one case moved to Liberia and are all from the health district Macenta. 

In Liberia, as of 4 April, there are a total of two confirmed cases, 18 suspected cases and 7 deaths (CFR 31%, of these, only one case was confirmed as death as a result of the EVD), with two cases discharged and 46 others under follow up. There are concerns that close contacts of confirmed deaths EVD have traveled from the effected areas. Current counties with confirmed and/or probable cases are Lofa, Margibi, Bong, Nimba and Monterrado. Isolation centres have been set up in Lofa, Margibi, Bong and Nimba, while the MoH are planning to set up a further centre in JFK Hospital in Monrovia (Monterrado County). ",IFRC
