glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
DR-2024-000071-LSO,2024-000071,23217,DR,drought,LSO,,-29.609988,28.233608,0.0,0.0,0,2024,4,29,A,0,0,0,0,,0,"Approximately, 325,000 individuals are experiencing the ramifications of the ongoing food insecurity based on IPC information, stemming from the enduring drought that has gripped the nation for years and increased the food insecurity situation. This figure represents
approximately 22% of the population. Eight districts on the ten in Lesotho are under Integrated Food Security Phase Classification 3 (IPC3), signifying a crisis state. Berea, Maseru, Mafeteng, Mohale&#39;s Hoek, Quthing, Thaba Tseka, and Leribe areas. In these districts, access to adequate food and nutrition is severely compromised, necessitating urgent intervention and support measures to alleviate the hardship faced by affected communities",IFRC
ST-2023-000261-LSO,2023-000261,23134,ST,severe local storm,LSO,,-29.609988,28.233608,0.0,0.0,0,2023,12,22,A,0,0,0,0,,0,"From the 22nd - 28th December 2023, most parts of the country received heavy rainfall coupled with strong winds which caused severe damages affecting 190 households (968pp). The impacts of the shocks (heavy rains and storms) were mostly felt by communities mostly in Maseru and Quthing district and lower impact was reported Berea, Mokhotlong, Thaba Tseka. ",IFRC
VW-2021-000139-LSO,2021-000139,22264,VW,violent wind,LSO,Qacha’s Nek and Thaba Tseka,0.0,0.0,0.0,0.0,0,2021,8,29,A,0,0,810,2550,,0,"From 27th to 29th August 2021, Lesotho experienced windstorms which affected two (Qacha&#39;s Nek and Thaba Tseka) districts out of ten. ",Lesotho Red Cross Society
OT-2016-000005-LSO,2016-000005,20620,OT,other,LSO,,-29.5352295629485,28.6083984375,0.0,0.0,0,2016,1,18,A,0,0,0,180880,,0,"Lesotho last had normal rainfall between April and May 2015. This made it difficult for Basotho (Lesotho people) to be engaged in winter ploughing due to scarce moisture. The first rains were expected between August, September, October and November, but in vain it is reported that vegetation conditions experienced in November 2015 were at their lowest in 15 years. According to the December 2015 FEWSNET  report the strong El Ni&ntilde;o event enhanced probabilities of below-normal rainfall and continued dry conditions in Southern Africa. Lesotho`s onset of rains was delayed by 30-40 days affecting land preparation and other agricultural activities. Of the few people who managed to plant their fields, the crops are dying off due to this prolonged dry spell. These conditions have also negatively affected livestock conditions due to poor pastures and limited  availability of water. 

The prolonged dry spells and drought not only affected maize production but other crops such as sorghum, beans, peas and wheat have also been affected, and harvests are down and low yields are therefore expected. The drought situation resulted in a 51% cereal deficit of the required 247,000 metric tonnes. Out of 10 districts the 5 hard to reach districts in Lesotho are the most affected including Qacha's Nek, Mokhotlong, Thaba Tseka, Quthing and Mafeteng.",IFRC
OT-2012-000155-LSO,2012-000155,19881,OT,other,LSO,,-29.609988,28.233608,0.0,0.0,0,2012,8,9,A,0,0,0,0,,0,"In 2012, the combined production of cereals in Lesotho was the lowest in 10 years, representing only 32% of the average annual harvest. Food price and other cost of living increases are intensifying the impact of the poor harvest. Preliminary Lesotho Vulnerability Assessment Committee (LVAC) results indicated that 725,000 people were food insecure. The government declared a food crisis situation on 9 Aug 2012 and called on development partners to assist.",UN Resident Coordinator
FL-2011-000019-LSO,2011-000019,19428,FL,flood,LSO,,-29.609988,28.233608,0.0,0.0,0,2011,2,9,A,26,0,0,5000,,0,"The impact of the heavy rains resulted in serious disruption in the national economy and the livelihoods of the Basotho people.  

As a result of the rains 26 people have died and over 5000 people have been displaced  and 672 houses destroyed 
",IFRC
FL-2008-000004-LSO,2008-000004,18094,FL,flood,LSO,Mafeteng,-29.609988,28.233608,0.0,0.0,0,2008,1,9,A,0,2,29,2000,,0,Heavy floods in southern Africa,IFRC
FA-2002-000333-LSO,2002-000333,10507,FA,famine,LSO,"Qacha's Nek, Quthing, Mohale's Hoek",-30.1501674,27.4710279,0.0,0.0,0,2002,4,0,A,0,0,0,500000, ,0, (Famine),
ST-2001-000691-LSO,2001-000691,10509,ST,severe local storm,LSO,Berea district,-29.2068943,27.8780275,0.0,0.0,0,2001,12,0,A,1,1,0,1000, kph,0, (Storm),
ST-2001-000690-LSO,2001-000690,10510,ST,severe local storm,LSO,Maseru region,-29.516565,27.8311428,0.0,0.0,0,2001,12,19,A,0,0,1000,0, kph,0, (Storm),
EP-2000-000060-LSO,2000-000060,10508,EP,epidemic,LSO,"Mafeteng, Mohale's Hoek, Quthing, Thaba-Tseka",-29.6215585,28.4863963,0.0,0.0,0,2000,1,7,A,28,0,0,1834, vaccinated,0, (Diarrhoeal/Enteric),
