glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
FL-2026-000021-MWI,2026-000021,23737,FL,flood,MWI,,-13.254308,34.301525,0.0,0.0,0,2026,1,20,A,0,0,0,0,,0,"In total, 10,912 households (49,104 people) were affected in Nkhotakota District alone. Floods displaced 2,132 households (10,912 people) into 14 camps where thousands are still hosted, caused 12 deaths, 39 injuries, and 2 missing persons, with significant damage to homes, infrastructure, schools, health facilities, crops, and livelihoods, creating urgent humanitarian needs.",IFRC
DR-2024-000069-MWI,2024-000069,23215,DR,drought,MWI,,-13.254308,34.301525,0.0,0.0,0,2024,3,25,A,0,0,0,0,,0,"About 40 percent of the population could be facing acute hunger by the end of year because of the drought. In addition, about 14,000 people were displaced by floods and landslides in the northern part of the country. On 25 March, the President of Malawi declared a national disaster. The National Response Plan launched in April estimates the needs at US$ 449 million. ","CCC, FAO, Gov&#39;t of Malawi, WFP"
FL-2024-000031-MWI,2024-000031,23173,FL,flood,MWI,,-13.254308,34.301525,0.0,0.0,0,2024,2,27,A,0,0,0,0,,0,"Flash floods hit Malawi&#39;s Nkhotakota district after incessant rains in the region, leaving affected areas inaccessible by road due to widespread damage to infrastructure. The floods left six people dead and has displaced thousands of others in Malawi&#39;s central region last week. Torrential rains also affected Karonga district in northern region. This development comes a year after Cyclone Freddy ripped through Malawi and neighbouring Mozambique and Madagascar, killing more than 500 people, mostly Malawians. More than 14 000 people have been affected in the latest bout of floods.",WHO
FL-2023-000037-MWI,2023-000037,22813,FL,flood,MWI,Malawi,-15.30637685,35.3281479407544,0.0,0.0,3,2023,3,13,A,0,0,0,0,0,4,GDACS - Medium in Malawi ,GDACS
EP-2022-000298-MWI,2022-000298,22661,EP,epidemic,MWI,"Machinga, Nsanje Chikwawa, Blantyre, Mulanje, Neno, Balaka, Lilongwe, Nkhatabay, Nkhotakota, Phalombe. Nkhatabay and Nkhotakota",-13.254308,34.301525,0.0,0.0,0,2022,8,27,A,58,0,0,1,,0,"Malawi is currently experiencing one of its worst cholera outbreaks in years. The first case was registered in Machinga district in the Southern region of Malawi on 2nd March, 2022.  The Malawi Ministry of Health declared the cholera outbreak on 3rd March, 2022 subsequent to the increase and spread of confirmed cases. The cholera outbreak, initially limited to the southern part of the country, has now spread to Malawi&#39;s northern and central regions. As of 24th August 2022, a total of 1,483 cholera cases and 58 deaths have been recorded with the case fatality rate at 3.9 per cent (UNICEF and WHO step up efforts to contain Cholera in Malawi and call for additional funds and support)
The affected districts include Machinga, Nsanje Chikwawa, Blantyre, Mulanje, Neno, Balaka, Lilongwe, Nkhatabay, Nkhotakota, Phalombe. Nkhatabay and Nkhotakota started registering new cases on 17th August 2022 and as of 18th August, 51 new cases were registered with a total of 264 cases in the two districts cumulatively and 25 cases were admitted. On 20th August 2022, a total of 179 cases had recovered after treatment and 8 people who were reported to had died represent a case fatality of 3.07%.",Malawi Red Cross Society and IFRC
EP-2022-000181-MWI,2022-000181,22542,EP,epidemic,MWI,,-13.254308,34.301525,0.0,0.0,0,2022,3,7,A,0,0,0,0,,0,"The Ministry of Health reported a confirmed case of Type 1 wild poliovirus (WPV1) in Lilongwe district, Malawi on 17 February 2022. This is the first detection of a case of WPV1 in Africa since 2016. ",IFRC
DR-2022-000040-MWI,2022-000040,22400,DR,drought,MWI,Malawi,-12.989,38.316,0.0,0.0,0,2022,1,19,A,0,0,0,0,0,1,"GDACS - Medium impact for agricultural drought in 329824 km2 over Mozambique, Tanzania, Zambia, Malawi-2021 ",GDACS
SS-2021-000196-MWI,2021-000196,22336,SS,storm surge,MWI,"Lilongwe, Mulanje, Mangochi, Chikwawa, Ntcheu, Machinga, Balaka, Zomba, Chiradzulu, Phalombe, Salima, Mzuzu and Blantyre",0.0,0.0,0.0,0.0,0,2021,12,6,A,0,0,0,55,,0,"As forecasted in the published alert,  Salima district started getting heavy clouds in the afternoon of the 24th November, 2021 which later turned into a very heavy storm which lasted for a more than three hours. The area recorded 45.1 mm of rainfall associated with high temperatures up to 39 Degree Celsius. During this period, only few houses were affected. The storms resurfaced on 25th November  and continued to 28th November, accompanied by heavy rains and winds causing serious damages in the four Traditional Authorities of Maganga, Kalonga, Kambwiri and Pemba. The rains lasted No deaths and injuries were reported but the impact of the disaster was unprecedented on the people with a large affected areas of houses. At the time of the rapid assessment, 1,188 households were affected with most of them having their roofs brown off. Household items, food stocks, WASH learning amenities were also damaged. About 98 households were also reported to be displaced and hosted by families and neighbours within the communities. However, no camps were established.",
OT-2020-000152-MWI,2020-000152,22010,OT,other,MWI,,0.0,0.0,0.0,0.0,0,2020,6,22,A,0,0,0,0,,3,"Malawi held national elections on the 21st of May 2019. The credibility of the elections outcome announced on the 27th of May 2019 was challenged in Court by different political affiliations including the main opposition parties; United Transformation Movement (UTM) Party and the Malawi Congress Party (MCP). The constitutional court ruling on 3rd February 2020 nullified the elections and ordered fresh elections to be conducted within 150 days. In the 500-page judgment, the court cited various irregularities and anomalies petitioners had brought before the court against the MEC. The irregularities included use of correction fluid, duplicate forms and lack of signatures on some result sheets. ",
EP-2020-000012-MWI,2020-000012,21900,EP,epidemic,MWI,,-13.254308,34.301525,0.0,0.0,0,2020,3,1,A,2371,76066,0,12,,120,"Coronavirus disease (COVID-19) is an infectious disease caused by the SARS-CoV-2 virus. It originated in Wuhan, China, at the end of 2019, and spread rapidly over the world.  Coronaviruses are a large family of viruses with some causing less-severe disease, such as the common cold, and others more severe like COVID-19. Coronavirus has impacted also Malawi, where authorities have reported as of December 31, 2021 more than 76066 total cases, with over 2371 deaths. ","WHO, Woldometers, MoHealth"
FL-2019-000014-MWI,2019-000014,21485,FL,flood,MWI,Chikwawa,0.0,0.0,0.0,0.0,0,2019,1,22,A,0,0,5078,15974,,0,"Within this period between 22nd and 26th January 2019, extensive rainfall was received for Blantyre, Chikwawa and Nsanje. On 23rd January 2019, the Village Civil Protection Committee (VCPC) reported on the flooding and subsequent displacement of people in some Tradition Authorities of Chikwawa District. Based on a preliminary assessment report, the most affected Traditional Authorities are Makhuwira and Paramount Chief Lundu in Chikwawa. ",IFRC
EP-2018-000103-MWI,2018-000103,21955,EP,epidemic,MWI,,-13.254308,34.301525,0.0,0.0,0,2018,1,1,A,0,0,0,0,,0,"On 24 November 2017, the Malawi Ministry of Health reported an outbreak of cholera in Karonga District, located in the northern part of the country (at the shore of Lake Tanganyika) and bordering Tanzania. The initial cholera cases emerged on 20 November 2017 and presented to Iponga Health Center in Karonga District.",ReliefWeb - OCHA
FL-2017-000090-MWI,2017-000090,20884,FL,flood,MWI,Karongo,-9.952536,33.9248222,0.0,0.0,0,2017,4,19,A,4,6,2262,10167,,0,"The Southern and Central Regions of Malawi are experiencing normal to above normal rainfall while the Northern Region is receiving above normal rainfall. One of the districts in the North (Karonga) has been experiencing fairly normal to above normal rainfall amounts since mid-March 2017. Since then, rains have been increasing, which has resulted in extensive flooding and an increased number of displaced populations.",
EP-2015-000184-MWI,2015-000184,20664,EP,epidemic,MWI,,-13.1543760554185,34.052734375,0.0,0.0,0,2015,12,31,A,0,0,0,0,,0,"The cholera outbreak which started in December 2015 continues to be a challenge in the country, particularly in districts surrounding Lake Chirwa, although the number of new cases has been declining in recent weeks. As of 31st March 2016 a cumulative total of 1,073 cholera cases were registered in 10 out of 28 districts with 21 deaths, representing a Case Fatality Rate (CFR) of 1.96%. During the last week of March, a total of 32 new cholera cases were recorded as compared to 33 recorded in the previous week.",UNICEF
DR-2015-000137-MWI,2015-000137,20568,DR,drought,MWI,,-15.6102778,35.5336111,0.0,0.0,0,2015,10,2,A,0,0,0,0,,0,"A slow onset of the rainy season in January 2015 was followed by severe flooding that washed away crops, leaving arable land covered with sand, and leading to widespread crop failure or low yields. In mid-September, the IFRC launched an Emergency Appeal to provide immediate food assistance through cash transfers to 2,000 households in the two southern districts of Nsanje and Phalombe affected by the floods and drought situation.",IFRC
