glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
EP-2026-000134-TCD,2026-000134,23882,EP,epidemic,TCD,,15.454166,18.732207,0.0,0.0,0,2026,7,15,A,0,0,0,0,,0,"As of 9 July 2026, a cumulative total of 167 cases and 5 deaths, including 3 community deaths, had been reported, corresponding to a 3 per cent case fatality rate (CFR)",IFRC
EP-2025-000149-TCD,2025-000149,23603,EP,epidemic,TCD,,14.7328735091913,20.753691375,0.0,0.0,0,2025,7,13,A,0,0,0,0,,0,"The cholera outbreak continues to spread, reaching Sila province after Ouaddaï, where Abdi health district reported four cases, including one death, last week. In Ouaddaï, three health districts are affected, with Farchana and Aml&eacute;youna recently reporting additional cases. Since 13 July, Ouaddaï has recorded 1,016 cases and 68 deaths as of 24 August 2025. State authorities and health partners are awaiting 1 million cholera vaccine doses from WHO to launch vaccination campaigns.",OCHA
FL-2024-000191-TCD,2024-000191,23379,FL,flood,TCD,Chad,13.5820827,14.3788329,0.0,0.0,3,2024,9,1,A,0,0,0,0,0,47,"GDACS - Medium humanitarian impact in for Chad.UN OCHA reports, as of 8 October, a total of 576 fatalities and nearly 1,942,000 affected people across the aforementioned provinces, among which the Lac province is the worst affected. ",GDACS
FL-2024-000139-TCD,2024-000139,23292,FL,flood,TCD,,15.454166,18.732207,0.0,0.0,0,2024,8,1,A,0,0,0,0,,0,"According to the UN Office for the Coordination of Humanitarian Affairs (OCHA), as of 7 August, at least 40 people died and more than 112,413 people have been affected by flooding in 13 provinces, including 71,000 in Sila, 18,000 in Logone Oriental, 8,400 in Logone Occidental, 3,900 in Chari Baguirmi, and at least 1,356 in N&#39;Djamena city (south-western Chad). In addition, 6,799 houses have been damaged.",ECHO
FL-2023-000198-TCD,2023-000198,23035,FL,flood,TCD,,15.454166,18.732207,0.0,0.0,0,2023,8,11,A,0,0,0,0,,0,"From 11 to 13 August 2023, more than 2,400 people arrived from Chad in Mourla, in the Far North region of Cameroon, following flooding in Mirvidim, in the Katawa district of Chad. The floods are the result of a breach of the Bongor-Gamsai dike, which caused water to pour into several villages.",UNOCHA
EP-2023-000175-TCD,2023-000175,22980,EP,epidemic,TCD,,15.454166,18.732207,0.0,0.0,0,2023,8,15,A,0,0,0,0,,0,"On 15 August 2023, the Ministry of Health in Chad officially declared an outbreak of Dengue fever in Abeche health district in Ouadai province. This declaration followed the confirmation of Dengue fever through laboratory samples at the National Laboratory of Biosecurity and Outbreaks in Ndjamena.",WHO
FL-2022-000287-TCD,2022-000287,22650,FL,flood,TCD,,15.454166,18.732207,0.0,0.0,0,2022,8,15,A,0,0,0,0,,0,"Le vendredi 5 Aout, plusieurs quartiers de N&#39;Djamena &eacute;taient inond&eacute;s apr&egrave;s des pluies diluviennes qui ont touch&eacute; la capitale tchadienne, Ndjam&eacute;na. Les fortes pluies continuent d‘affecter diff&eacute;rentes r&eacute;gions du pays, y compris la province du logone oriental, causant des d&eacute;g&acirc;ts humains et mat&eacute;riels, ainsi que les moyens de subsistance d&#39;une partie importante de la population, selon le Bureau de Coordination des Affaires Humanitaires des Nations Unies (OCHA).",UNOCHA
CE-2021-000201-TCD,2021-000201,22345,CE,complex emergency,TCD,Ndjamena and Chari-Baguirmi,0.0,0.0,0.0,0.0,0,2021,12,5,A,22,30,82637,82637,,0,"According to the National Commission for the Reception and Reintegration of Refugees and Repatriates (CNARR) and the UNHCR, 82,637 Cameroonians have found refuge on Chadian territory by 12 December 2021. Of these, 45,637 are reported in the urban areas of Ndjamena while 37,000 are in rural areas. Most of these people have fled the town of Kousseri to N&#39;djamena, the capital of Chad, located a few kilometres across the Chari and Logone rivers, which mark the border between Chad and Cameroon, following communal violence starting on 5th December.",Chad Red Cross Society
FL-2021-000084-TCD,2021-000084,22207,FL,flood,TCD,,15.9613290815966,18.84765625,0.0,0.0,0,2021,6,26,A,0,0,0,0,,0,"On 26 June, the sub-prefectures of Bologo and Dafra, in western Tandjilé, were severely hit by torrential rains: 231 people were wounded and five killed, 4,413 houses were destroyed, 31 schools and health centers were either totally or partially washed away, and 560 animals went missing. Around 20,000 people are now in need of shelter, food and health assistance. The Governor visited the sites on 30 June and held a coordination meeting with local authorities the next day, setting up a provincial disaster management committee. Governmental and humanitarian partners have been called upon to support the response. ",OCHA
CE-2021-000013-TCD,2021-000013,22116,CE,complex emergency,TCD,Ouaddai  province,11.8673509114593,26.7578125,0.0,0.0,0,2021,1,26,A,1,0,4,0,,0,"Inter-communal violence between the two ethnic groups in Kringding IDP camp has resulted in the movement of approximately 4,029 Sudanese refugees into Chad to seek refuge. The majority of these displaced are women and children who are exhausted, traumatized and with signs of malnutrition and are now hosted in Ouaddai province of Chad. ",Chad Red Cross
FL-2020-000192-TCD,2020-000192,22052,FL,flood,TCD,,0.0,0.0,0.0,0.0,0,2020,8,25,A,0,0,0,0,,0,"Following floods which have been occurring since early August 2020 in N’Djamena, 7,122 households (31,853 individuals) fled their homes located in 15 quartiers (7 arrondissements) of the city. They took refuge either elsewhere in their arrondissement, or in neighbouring arrondissements. Ten individuals died following the floods. It should be noted that 5,250 shelters have been destroyed. Most of the affected individuals are hosted by relatives, but some of them are currently without shelter.",IOM
EP-2020-000012-TCD,2020-000012,21887,EP,epidemic,TCD,,15.454166,18.732207,0.0,0.0,0,2020,3,1,A,184,6183,0,25,,120,"Coronavirus disease (COVID-19) is an infectious disease caused by the SARS-CoV-2 virus. It originated in Wuhan, China, at the end of 2019, and spread rapidly over the world.  Coronaviruses are a large family of viruses with some causing less-severe disease, such as the common cold, and others more severe like COVID-19. Coronavirus has impacted also Chad, where authorities have reported as of December 31, 2021 more than 6183 total cases, with over 184 deaths. ","WHO, Woldometers, MoHealth"
FL-2019-000107-TCD,2019-000107,21591,FL,flood,TCD,,0.0,0.0,0.0,0.0,0,2019,8,23,A,0,0,0,0,,0,"On 23 August, heavy rains and ensuing floods in Kalait, Ennedi West, destroyed houses, vehicles, food, crops and killed large amounts of cattle. Seven people lost their lives, including two women. Local authorities reported that 400 houses were destroyed and 370 others damaged in Kalait. Two weeks of flooding have reportedly split the town in two, affecting 8,775 people. In the town of Fada, also in Ennedi West, the floods destroyed 240 houses and damaged 400 others, affecting 3,200 people. ",OCHA
EP-2018-000075-TCD,2018-000075,21085,EP,epidemic,TCD,,15.454166,18.732207,0.0,0.0,0,2018,5,30,A,0,0,0,0,,0,"Since the start of the year, 400 cases, including 14 deaths, were reported as of 20 May compared to 205 cases and one death over the same period in 2017. Three districts have reached the epidemic threshold. A measles outbreak has been declared on 30 May in five districts of Chad (Bokoro, Gama, Ati, Am dam and Goz Beida), where 474 cases and 18 deaths have been reported.",OCHA
OT-2018-000035-TCD,2018-000035,21040,OT,other,TCD,,8.14674173685618,16.3152148125,0.0,0.0,0,2018,3,12,A,0,0,0,19910,,0,"CAR refugees are fleeing Paoua in the Central African Republic (CAR) and entering the Eastern Logone province in southern Chad.  According to the UNHCR Central African Refugee Emergency Response Plan released on 12 March 2018, about 19,910 Central African refugees have arrived in Chad since the beginning of 2018. ",
