glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
FL-2026-000011-ZAF,2026-000011,23725,FL,flood,ZAF,,-30.559482,22.937506,0.0,0.0,0,2026,1,16,A,0,0,0,0,,0,"On 19 January 2026, the Government of the Republic of South Africa declared a National Disaster due to the ongoing severe flooding citing widespread loss of life, infrastructure damage, displacement and disruption of schooling and agricultu",ECHO
FL-2025-000089-ZAF,2025-000089,23539,FL,flood,ZAF,South Africa,-31.589075,28.789145,0.0,0.0,3,2025,6,9,A,0,0,0,0,0,1,"GDACS - Medium humanitarian impact in for South Africa.Severe weather including heavy rain, strong winds, cold temperatures and snow affected areas of South Africa from 09 June 2025. Local media reported casualties after incidents of flooding in Eastern Cape Province. ",GDACS
FL-2024-000008-ZAF,2024-000008,23140,FL,flood,ZAF,,-30.1423363600771,29.3974669375,0.0,0.0,0,2024,1,7,A,0,0,0,0,,0,"On the 7th of January 2024 to date, storm surge resulted in flooding affected KwaZulu Natal and Free State province. Around 1,226 households, (6,418 people) were affected in Free State and KwaZulu Natal. Severe damages were also reported",IFRC
FL-2023-000200-ZAF,2023-000200,23039,FL,flood,ZAF,,-30.559482,22.937506,0.0,0.0,0,2023,9,23,A,0,0,0,0,,0,"Severe weather between Sept. 23-26 resulted in flooding, loss of life and displacement of residents, severe damage on private and public infrastructure, road closures, and power outages across Western Cape province. The severe weather and flooding have affected at large group of people in the and around the city, including eight fatalities due to electrocution by illegal electricity connections. Damage assessments are ongoing, but initial reports indicate more than 1,500 structures impacted by flooding. The Kuils River overflowed, flooding Mfuleni Township and forcing around 2,710 families to evacuate. Reports also indicate evacuations in Faure and Sandvlei. Over 16,000 people have been reported to be affected by the floods. This is whilst 7,100 informal structures were adversely affected. According to News 24, it reported 11 fatalities in the affected areas. Furthermore, there are reports of nearly 250 schools which are affected by the disaster. [...] More than 100,000 people in Western Cape Province were without power at the height of the storm. Authorities have not restored power to most people, and around 15,000 remain without electricity as of Sept. 27. Authorities in Cape Town issued a major incident declaration due to the flooding. Flooding and associated disruptions are still ongoing across Western Cape Province.",IFRC
FL-2022-000382-ZAF,2022-000382,22753,FL,flood,ZAF,Gauteng Province  ,-26.2707593,28.1122679,0.0,0.0,0,2022,12,10,A,0,0,0,0,,0,"Parts of Gauteng Province and North West Province were negatively affected by recent floods that hit parts of Soweto, Erkhuleni, Johannesburg, Vereeniging, Brakpan (Gauteng Province), and Rustenburg, Bojanala (North West Province) on 10-11 December 2022.  ",IFRC
FL-2022-000201-ZAF,2022-000201,22563,FL,flood,ZAF,South Africa,-29.861825,31.009909,0.0,0.0,3,2022,4,11,A,0,0,0,0,0,1,GDACS - Medium in South Africa ,GDACS
OT-2021-000210-ZAF,2021-000210,22354,OT,other,ZAF,,0.0,0.0,0.0,0.0,0,2021,12,23,A,0,0,0,8,,0,"In the early hours of the 12th of December, heavy thunderstorms hit Mthatha town, in the OR Tambo district of the Eastern Cape province. Media reports indicated a total death toll of 6 people, more than 19 people hospitalized and 100s being homeless. As the week progressed, Amathole, Buffalo city, Chris Hani, Alfred Nzou and Joe Gqabi surrounding districts were also impacted. Reports further stipulated that over 1,000 homes were damaged, with the likely of more being affected. To date, through on-going joint assessments by the Provincial Disaster Management Centre (PDMC), local municipalities and other stakeholders inclusive of the South African Red Cross Society (SARCS), 1,762 households (8,810 people) have been recorded to be adversely affected.",
CE-2021-000086-ZAF,2021-000086,22209,CE,complex emergency,ZAF,Kwa Zulu Natal and Gauteng provinces,0.0,0.0,0.0,0.0,0,2021,7,11,A,212,0,0,0,,0,"Urban violence which commenced in South Africa from 9 to 17 July 2021, in response to the arrest of former President Jacob Zuma. The riots triggered wider rioting and looting fuelled by job layoffs and economic inequality worsened by the COVID-19 pandemic. The civil unrest began in the province of KwaZulu-Natal on the evening of 9 July, and spread to the province of Gauteng on the evening of 11 July 2021. As of 16 July, 212 people had died in the unrest and 2,554 had been arrested. ",South Africa Red Cross Society (SARCS)
TC-2021-000011-ZAF,2021-000011,22114,TC,tropical cyclone,ZAF,"Kwa Zulu Natal, Mpumalanga and Limpopo provinces",-26.2737140244064,28.14208984375,0.0,0.0,0,2021,1,25,A,4,0,0,3200,,0,"According to government report through its Command-and-Control Centre, some 3,200 people (640 HH) in Kwa Zulu Natal, Mpumalanga and Limpopo provinces have been affected by heavy rains and flooding following Tropical Storm Eloise. The tropical storms also extended to other provinces with no damages",South Africa Red Cross Society
EP-2020-000012-ZAF,2020-000012,21771,EP,epidemic,ZAF,,-30.559482,22.937506,0.0,0.0,0,2020,3,1,A,91198,3468079,0,2201,,120,"Coronavirus disease (COVID-19) is an infectious disease caused by the SARS-CoV-2 virus. It originated in Wuhan, China, at the end of 2019, and spread rapidly over the world.  Coronaviruses are a large family of viruses with some causing less-severe disease, such as the common cold, and others more severe like COVID-19. Coronavirus has impacted also South Africa, where authorities have reported as of December 31, 2021 more than 3468079 total cases, with over 91198 deaths. ","WHO, Woldometers, MoHealth"
