glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
EP-2026-000029-ZMB,2026-000029,23749,EP,epidemic,ZMB,,-15.2638979410242,27.761441375,0.0,0.0,0,2026,2,25,A,0,0,0,0,,0,"As of 25 Feb, the MOH Daily Surveillance Report reported Lusaka District as having the cumulative totals of 271 cases and 4 deaths. In the past few days, there has been a spike in the number of cases reported daily, with 14 new cases in the past 24 hours, reinforcing Lusaka&#39;s role as the current driver of national transmission.",IFRC
FL-2026-000020-ZMB,2026-000020,23735,FL,flood,ZMB,,-14.8819981789452,27.3659335625,0.0,0.0,0,2026,1,11,A,0,0,0,0,,0,"An estimated 1,126 households were affected in the three districts, equivalent to approximately 6756 people, while 91 households were displaced in Monze District. ",IFRC
DR-2024-000018-ZMB,2024-000018,23156,DR,drought,ZMB,,-17.5,33.5,0.0,0.0,0,2024,1,15,A,0,0,0,0,,303,"The Dry spell has from mid-January this year affected most of the central and southern half of the country, which has received less than normal rainfall leaving 1 million hectares of maize destroyed, almost half of the country maize cultivation. It is also projected that the drought will lead to a power deficit or 430 Megawatts and affect ground and surface water levels, with severe consequences for sectors beyond agriculture since  80 per cent of Zambia electricity generation comes from hydropower.",GDACS
EP-2024-000002-ZMB,2024-000002,23131,EP,epidemic,ZMB,,-15.4334095297274,28.2008945,0.0,0.0,0,2024,1,10,A,0,0,0,0,,0,"A cholera outbreak which was first reported in October 2023 has seen a dramatic increase in transmission since mid-December. The country has now recorded a cumulative 8,276 cases and 333 deaths, with 446 new cases and 23 deaths in the past 24 hours according to a daily update from the Ministry of Health, resulting in a case fatality rate of 4%. Thirty-one percent of the cases are in children under five years old.",IFRC
FL-2023-000014-ZMB,2023-000014,22789,FL,flood,ZMB,,-13.133897,27.849332,0.0,0.0,0,2023,1,11,A,0,0,0,0,,0,"Heavy rainfall and thunderstorms have been affecting central-southern Zambia (in particular Southern, Central, Eastern, and Lusaka Provinces) since 11 January, causing severe floods and rivers overflow (particularly Luangwa, and Mkushi Rivers) that have resulted in casualties and damage. The International Federation of Red Cross and Red Crescent Societies (IFRC) reports, as of 28 January, a total of more than 22,000 affected people across Kalomo, Namwala, and Choma Districts in the Southern Province (the worst affected one). IFRC also reports 500 displaced families in a number of temporary evacuation centres in the Namwala Districts. Media also report several collapsed and severely damaged houses, a number of damaged bridges, and many isolated communities across the aforementioned affected provinces. Over the next 24 hours, more heavy rainfall is forecast over the whole country, with locally very heavy rainfall over the Central Province.",ECHO
EP-2023-000013-ZMB,2023-000013,22788,EP,epidemic,ZMB,Vubwi districts and surrounding in Eastern province,-14.0440623,32.8535755,0.0,0.0,0,2023,2,3,A,1,0,0,21,,0,"Cholera is ongoing with increased trend and multiple risks factors. Population at risk is considered in the current scenario at 53,080 people, the district population. District has geographical and socio-economical combination of risk factors for deterioration of the situation. Ongoing rainy season, outbreak in surrounding countries and leaving condition in the district with poor WASH facilities and low infrastructure in a community mainly rural. The district shares borders with Mozambique and Malawi, the most endemic province Lusaka which is currently experiencing floods. Based on Lusaka cholera response MDRZM016, acting in early stage of cholera outbreak has proven to be more effective in the country&#39;s cholera response. Currently, the epidemic has made 21 cases recorded between 21.01.2023 to 30.01.2023, 10 confirmed cases.",Zambia Red Cross and IFRC
EP-2022-000203-ZMB,2022-000203,22565,EP,epidemic,ZMB,,-13.133897,27.849332,0.0,0.0,0,2022,4,20,A,0,0,0,0,,0,"On 11 April 2022, a cholera outbreak was declared in Zambia with its index case reported in Mtendere compound which has a population of 106,128 within Chelstone Subdistrict and Matero with a population of 356,462, within Lusaka. The index case involved 3-year-old girl who presented with signs and symptoms suggestive of cholera; results later confirmed the presence of vibrio Cholerae in stool. The patient was admitted at Kalingalinga Clinic, a local health facility where she was treated and discharged. 

By 18 April 2022, the outbreak had spread to other areas within Lusaka with a cumulative total of 16 suspected cases of which 8 were confirmed, distributed as follows: Lusaka Province - 7 (Lusaka District 12; - Mtendere 4, Kabangwe 1, Kamwala 1 and Matero 1), Chilanga District (Midles-west 2, Apolo1, and ZESCO Kalundu 2) Northern Province 5  (Nsama District - Nsumbu 5). These are densely populated areas which lack adequate sanitation and access to clean and safe water, posing a danger for further spread of the epidemic. No fatalities have been reported to date. ",
FL-2022-000135-ZMB,2022-000135,22495,FL,flood,ZMB,"Kalomo, Namwala and Choma districts of the Southern Province",0.0,0.0,0.0,0.0,0,2022,1,19,A,0,0,0,22314,,0,"Most parts of Zambia started receiving heavy rains on 11th of January 2022. On the 16th of January 2022, Kalomo, Namwala and Choma districts of the Southern Province started experiencing flash floods. According to the needs assessment report issued by the Zambian government through Disaster Management and Mitigation Unit (DMMU) (17th January 2022), Namwala district has recorded the highest number of households affected with 3,219. The report also indicated that 8,000 Ha of field crops have been submerged by water, as well as houses and sanitation facilities. In addition, livestock such as chickens and goats have also been swept away. Currently, 500 households have been displaced and being accommodated in schools and the immediate needs includes safe and clean water, hygiene and sanitation, food, Non-Food Items, shelter and protection. A total of 4 wards in Namwala have been affected: Nakamboma, Mbeza, Chitongo and Mandondo.",Zambia Red Cross and IFRC
DR-2021-000170-ZMB,2021-000170,22296,DR,drought,ZMB,Western Province,0.0,0.0,0.0,0.0,0,2021,11,8,A,0,0,0,30,,0,"According to IPC Food Insecurity analysis, the projected period starting from October 2021 to March 2022, coincides with the lean season when the country’s food security situation is expected to deteriorate, with around 1.58 million people (13% of the analysed population) classified in Crisis (IPC Phase 3). Most affected provinces are Luapula, Lusaka, North-Western, Northern, Southern and Western.",Zambia Red Cross Society
FF-2020-000240-ZMB,2020-000240,22100,FF,flash flood,ZMB,Mumbwa district,-15.0368764,26.6081653,0.0,0.0,0,2020,12,25,A,0,0,261,500,,0,"Heavy rainfall on 25th December 2020 resulted in the bursting of Kandesha Dam that led to flooding in Munengo, Kambobe, Katala, and Chiloweni communities of Mapona ward in Mumbwa district of Central province. The flood destroyed 261 houses and affected 500 households that need humanitarian assistance. ",Zambia Red Cross and IFRC
