glidenumber,number,docid,event,event_name,geocode,location,latitude,longitude,latitude2,longitude2,shape_type,year,month,day,status,killed,injured,homeless,affected,magnitude,duration,comments,source
FL-2026-000023-ZWE,2026-000023,23739,FL,flood,ZWE,,-19.015438,29.154857,0.0,0.0,0,2026,1,24,A,0,0,0,0,,0,"As of 24 January 2026, at least 109 people have been confirmed dead due to rainfall-related incidents, including drowning, people being swept away by floodwaters, and lightning strikes, while at least 61 people have sustained injuries. Nationwide, an estimated 8,295 households (41,475 people) have been affected,",IFRC
EP-2025-000075-ZWE,2025-000075,23524,EP,epidemic,ZWE,,-19.015438,29.154857,0.0,0.0,0,2025,5,3,A,0,0,0,0,,0,"The malaria outbreak has resulted in increased morbidity and mortality, with 85 confirmed deaths reported as of 26 April 2025. ",IFRC
EP-2024-000233-ZWE,2024-000233,23484,EP,epidemic,ZWE,,-19.015438,29.154857,0.0,0.0,0,2024,12,6,A,0,0,0,0,,0,"Zimbabwe has recorded a surge in cholera cases, which have reached critical levels, necessitating urgent interventions. Harare reported its first case on December 6, 2024, in the Belvedere squatter camp. The outbreak, also reported on December 19, 2024, in Mazowe District, Bindura, Kariba, Mt Darwin, Uzumba Maramba Pfungwe (UMP), Beitbridge, Chiredzi, and Hwedza, has escalated rapidly, with cumulative cases reaching 579 and 13 fatalities recorded as of March 12, 2025. ",IFRC
DR-2024-000066-ZWE,2024-000066,23212,DR,drought,ZWE,,-19.015438,29.154857,0.0,0.0,0,2024,4,1,A,0,0,0,0,,0,"Following the severe impacts of the El Nino induced drought which affected more than 80% of the country resulting in significantly below-normal harvest, the country declared the 2023-2024 agriculture season a state of national disaster at the beginning of April 2024.",WFP
EP-2023-000265-ZWE,2023-000265,23152,EP,epidemic,ZWE,,-19.015438,29.154857,0.0,0.0,0,2023,10,31,A,0,0,0,0,,0,"Zimbabwe detected seventeen (17) circulating vaccine derived polio virus type 2 (cVDPV2) from environmental samples in Harare since October 2023. The samples were from four polio environmental surveillance sites in Harare. Polio outbreak was declared a public health emergency (PHE) by the Minister of Health and Child Care in October 2023. An index human cVDPV2 was reported in a 10-year-old female AFP case in January 2024.
Two newly confirmed AFP cases (samples from contacts) have been reported this week (cumulative 23) with a NPAFP rate at 1.3 per cent children over 15 years.  A total of 10,517,500 doses of nOPV2 were received on 29 January 2024 for the planned two supplementary immunization activities (SIAs). Expiry date 14/08/2025.
A joint press release on Round 1 national nOPV2 polio SIA done by the Honorable Deputy Minister of Health and Child Care (MoHCC) with UNICEF, WHO and Partners on 16 Feb 2024.",UNICEF
EP-2023-000105-ZWE,2023-000105,22887,EP,epidemic,ZWE,,-19.015438,29.154857,0.0,0.0,0,2023,2,12,A,0,0,0,0,,0,"The cholera outbreak started on the 12th of February, in Chegutu town, which has a population of 66,258 within the Mashonaland West Province of Zimbabwe. The suspected case was confirmed by the Ministry of Health and Child Care (MoHCC) on the 15th of February while a second case was reported, again in Chegutu town on the 17th of February.This saw the Government set up a Cholera treatment centre in Chegutu. By the 26th of February, 37 suspected cholera cases with 2 confirmed positive cases and no deaths were reported in Chegutu district. As of the 18th of April 2023, there had been 579 suspected cholera cases reported, of which 102 were culture confirmed, and 9 deaths (CFR 1.6%). The situation was stable until the last SITREP of 1st June 2023 showing an ascendant curve in cases and death since late May to 1st June.The cases have now been reported from all the ten provinces of the country, without epidemiological link to each other. By the 18th of April, there had been 168 RDTs (Rapid diagnostic tests) conducted with 73/168 positive (42 % positivity) and 104/359 positive cultures (29 % positivity). Although this cholera outbreak occurred outside the rainy season, it mimicked the previous cholera outbreak of 2018 that started in the same town and spread to other hotspots within the country. To date, 17 cholera hotspot districts in the country have been severely affected and cases are on the rise. The MoHCC, through the Zimbabwe Cholera SitRep of 28 May 2023, reports a cumulative total of 1649 suspected cholera cases, 423 confirmed cases, 1528 recoveries, 11 confirmed deaths and 33 suspected deaths.",IFRC
EP-2022-000304-ZWE,2022-000304,22667,EP,epidemic,ZWE,,-19.015438,29.154857,0.0,0.0,0,2022,9,5,A,639,0,0,5735,,0,"Zimbabwe has been hit by a deadly national measles outbreak whose infection rateich has doubled from 1036 to 2056 in four days (as of the 15th of August 2022) and has killed 157 children from 2056 cases reported in all the provinces between April and August 2022 . The disease was first recorded in Manicaland province on the 10th of April in Mutasa district. The government responded through initiating vaccination of children under 5 years regardless of vaccination status. However, the cases have been on the rise and spreading across all the ten provinces of the country with an alarming sharp increase in cases in August which saw doubling of cases between the 10th and 15th of August from 1036 to 2056 and over 157 deaths recorded. The most affected provinces are Manicaland and the Midlands which have 2321 cases (228) and 342 (46 deaths) cases respectively as of the 24th of August 2022.  In Manicaland of the 2321 cases recorded, 396 are vaccinated, 1,661 are not vaccinated and 264 have unknown vaccination status whilst of the 228deaths reported, 47 were unvaccinated and 181 vaccination status is unknown. from 30 august Sitrep, • 179 New Cases and 39 Deaths were reported today. The deaths were reported from
Manicaland (36) and Mashonaland West (3).
• A cumulative total of 5 735 Cases, 4 117 Recoveries and 639 Deaths have been reported since
the onset of the outbreak.
• New cases were reported from Matabeleland North (60), Manicaland (49), Mashonaland
East (41), Mashonaland West (23), Chitungwiza (11) and Harare (6)",
TC-2022-000161-ZWE,2022-000161,22521,TC,tropical cyclone,ZWE,,0.0,0.0,0.0,0.0,0,2022,2,5,A,0,0,0,0,,0,"On the 23 of Jan 2022, the Meteorological Services department issued an alert of the first Tropical weather system predicted to affect Zimbabwe. The system rapidly developed into a tropical storm coded Ana which then made land fall on Mozambique on 24 Jan by the 25 Jan it had reached Zimbabwe as an overland depression. Moderate to heavy rains with daily maximums of 80mm accompanied by strong winds of up to 80km/hour pounded several communities in the northern and North-eastern boarder of Zimbabwe.  

 

In Zimbabwe, the passage of the Tropical Storm Ana weather system caused destruction and damage in at least six provinces, with Manicaland Province hardest hit. At least 3,000 people have been affected by heavy rains and flooding, and schools, bridges and roads were damaged",
DR-2021-000168-ZWE,2021-000168,22294,DR,drought,ZWE,,0.0,0.0,0.0,0.0,0,2021,11,4,A,0,0,0,0,,0,"Zimbabwe is currently experiencing some lean season food insecurity and deteriorating nutrition in some parts of the country’s low-lying areas. The situation has further been exacerbated by the current devaluation of the local currency, Covid 19 pandemic and poor harvests recorded in some parts of the country this past agricultural season. Crisis (IPC Phase 3) outcomes are expected to prevail in the Southern, Western, and extreme northern areas as the 2012/22 lean season continues through November 2021 to March 2022 (FEWSNET, October to May 2022 Outlook). ",Zimbabwe Red Cross Society
TC-2021-000009-ZWE,2021-000009,22112,TC,tropical cyclone,ZWE,,0.0,0.0,0.0,0.0,0,2021,1,23,A,0,0,0,0,,0,"Tropical cyclone Eloise made landfall in Zimbabwe on 23 January at about 20:00 hrs with wind speeds of 160 kilometres per hour (kph) (99 miles per hour). After its landfall in Zimbabwe, it brought heavy rains in Masvingo, Manicaland and Matebeleland Provinces which covers the southern part of Zimbabwe.",Zimbabwe RC 
